op_type,op_name,value_bytes,count
0,SLOAD,32,696683837
1,SSTORE,32,205091770
2,BALANCE,32,847817
3,SELFBALANCE,32,5903806
4,EXTCODESIZE,32,64062292
5,EXTCODEHASH,32,349519
6,EXTCODECOPY,0,97
6,EXTCODECOPY,1,327
6,EXTCODECOPY,2,88
6,EXTCODECOPY,3,2043
6,EXTCODECOPY,4,1316
6,EXTCODECOPY,6,20
6,EXTCODECOPY,8,18
6,EXTCODECOPY,9,1
6,EXTCODECOPY,20,618
6,EXTCODECOPY,23,20090
6,EXTCODECOPY,32,68862
6,EXTCODECOPY,36,456
6,EXTCODECOPY,38,48
6,EXTCODECOPY,40,5173
6,EXTCODECOPY,44,33
6,EXTCODECOPY,45,63
6,EXTCODECOPY,46,32
6,EXTCODECOPY,52,11004
6,EXTCODECOPY,61,23
6,EXTCODECOPY,64,19
6,EXTCODECOPY,70,18
6,EXTCODECOPY,72,165
6,EXTCODECOPY,73,15
6,EXTCODECOPY,76,1
6,EXTCODECOPY,84,11
6,EXTCODECOPY,92,53342
6,EXTCODECOPY,96,601
6,EXTCODECOPY,97,1
6,EXTCODECOPY,106,46
6,EXTCODECOPY,107,2122
6,EXTCODECOPY,110,1
6,EXTCODECOPY,116,2
6,EXTCODECOPY,122,32
6,EXTCODECOPY,128,36
6,EXTCODECOPY,140,7
6,EXTCODECOPY,142,46
6,EXTCODECOPY,160,6
6,EXTCODECOPY,164,81
6,EXTCODECOPY,171,8
6,EXTCODECOPY,174,1
6,EXTCODECOPY,178,1
6,EXTCODECOPY,184,84
6,EXTCODECOPY,192,1
6,EXTCODECOPY,193,115
6,EXTCODECOPY,224,20
6,EXTCODECOPY,232,1
6,EXTCODECOPY,256,4
6,EXTCODECOPY,257,1
6,EXTCODECOPY,259,1
6,EXTCODECOPY,276,2
6,EXTCODECOPY,288,1
6,EXTCODECOPY,327,2
6,EXTCODECOPY,330,1
6,EXTCODECOPY,344,2
6,EXTCODECOPY,384,112
6,EXTCODECOPY,398,4
6,EXTCODECOPY,426,10
6,EXTCODECOPY,446,1
6,EXTCODECOPY,484,8
6,EXTCODECOPY,512,9
6,EXTCODECOPY,582,1
6,EXTCODECOPY,680,1
6,EXTCODECOPY,1119,1
6,EXTCODECOPY,1159,6
6,EXTCODECOPY,1216,3
6,EXTCODECOPY,1316,1
6,EXTCODECOPY,1326,1
6,EXTCODECOPY,1523,3
6,EXTCODECOPY,1582,2
6,EXTCODECOPY,1633,149
6,EXTCODECOPY,1648,3
6,EXTCODECOPY,1853,21
6,EXTCODECOPY,2118,7
6,EXTCODECOPY,2141,1
6,EXTCODECOPY,2206,8
6,EXTCODECOPY,2290,3
6,EXTCODECOPY,2338,23
6,EXTCODECOPY,2431,2
6,EXTCODECOPY,2584,1
