block_number,cache_size_bytes
24019447,2585393
24019448,3227242
24019449,3906388
24019450,3046104
24019451,3228177
24019452,508126
24019453,4889653
24019454,2941536
24019455,3995106
24019456,2758237
24019457,4735413
24019458,3257817
24019459,3584021
24019460,3928413
24019461,2334038
24019462,3294699
24019463,2802957
24019464,4596032
24019465,3077422
24019466,3373980
24019467,2763802
24019468,2464002
24019469,3509501
24019470,2408260
24019471,4744039
24019472,4164336
24019473,451492
24019474,5324170
24019475,3167921
24019476,2991091
24019477,3050957
24019478,3486581
24019479,3919174
24019480,3153646
24019481,3785244
24019482,4184512
24019483,3399177
24019484,3952793
24019485,2431997
24019486,4103271
24019487,3364757
24019488,2766538
24019489,3736819
24019490,3766604
24019491,3648396
24019492,2922526
24019493,1739333
24019494,6002707
24019495,3424623
24019496,694205
24019497,749672
24019498,6324783
24019499,2823125
24019500,4545232
24019501,3416816
24019502,2192305
24019503,2781387
24019504,3343060
24019505,3497545
24019506,2534276
24019507,3956689
24019508,3946808
24019509,4912105
24019510,3885968
24019511,3284998
24019512,3013340
24019513,1916028
24019514,3965552
24019515,3621961
24019516,4112623
24019517,2492941
24019518,6708245
24019519,4745244
24019520,5026457
24019521,8109728
24019522,4882555
24019523,1691663
24019524,6242149
24019525,6630278
24019526,2238793
24019527,3656131
24019528,5704902
24019529,6256111
24019530,4297334
24019531,3334324
24019532,4662686
24019533,4155829
24019534,4055521
24019535,3160738
24019536,3065230
24019537,3466005
24019538,2395563
24019539,4121812
24019540,810575
24019541,5812663
24019542,4598228
24019543,1110196
24019544,6348124
24019545,4517455
24019546,1669460
24019547,1886958
24019548,7789247
24019549,682345
24019550,5660956
24019551,5753142
24019552,3097114
24019553,4340044
24019554,1868187
24019555,6367666
24019556,4452058
24019557,4109670
24019558,4397159
24019559,2894174
24019560,3704029
24019561,3228785
24019562,4435965
24019563,2632279
24019564,3299739
24019565,5221686
24019566,2420063
24019567,1259001
24019568,1040412
24019569,6752054
24019570,4783921
24019571,4098372
24019572,833893
24019573,4981034
24019574,3923495
24019575,2318355
24019576,2877939
24019577,3807512
24019578,4855384
24019579,2822066
24019580,2997767
24019581,2985592
24019582,3601097
24019583,2657266
24019584,4395156
24019585,3723658
24019586,1625773
24019587,4227149
24019588,3508892
24019589,2046451
24019590,3835188
24019591,5347994
24019592,3507054
24019593,2760489
24019594,3430643
24019595,4637714
24019596,2854700
24019597,3401602
24019598,2939798
24019599,3333840
24019600,1709928
24019601,3579359
