block_number,raw_size_bytes,compressed_size_bytes,file_size_bytes
24019447,121869,64765,64793
24019448,99297,45942,45970
24019449,134019,64125,64153
24019450,128192,66942,66970
24019451,99436,47285,47313
24019452,28198,16273,16301
24019453,191909,92089,92117
24019454,110866,54768,54796
24019455,115361,55263,55291
24019456,80848,31520,31548
24019457,177709,82631,82659
24019458,117795,57190,57218
24019459,121786,56388,56416
24019460,120807,57327,57355
24019461,76787,35576,35604
24019462,121102,54222,54250
24019463,97183,48988,49016
24019464,145736,70333,70361
24019465,145977,66053,66081
24019466,117031,56504,56532
24019467,116765,54114,54142
24019468,79416,38935,38963
24019469,112804,55765,55793
24019470,69762,31139,31167
24019471,196504,82403,82431
24019472,143719,65796,65824
24019473,16550,8765,8793
24019474,193651,83499,83527
24019475,87866,40088,40116
24019476,105807,53503,53531
24019477,94287,45658,45686
24019478,127151,55819,55847
24019479,123690,56292,56320
24019480,90721,43004,43032
24019481,119732,56183,56211
24019482,147479,64104,64132
24019483,108820,49305,49333
24019484,172212,95507,95535
24019485,79684,39172,39200
24019486,147450,68694,68722
24019487,100573,47537,47565
24019488,98409,47698,47726
24019489,174770,90667,90695
24019490,134430,65398,65426
24019491,114442,53276,53304
24019492,89139,42770,42798
24019493,65682,28629,28657
24019494,228479,108037,108065
24019495,102002,45666,45694
24019496,35687,16181,16209
24019497,31460,17131,17159
24019498,235890,102066,102094
24019499,95663,46336,46364
24019500,135012,62638,62666
24019501,115017,56962,56990
24019502,74153,35105,35133
24019503,100683,48915,48943
24019504,122603,57150,57178
24019505,120600,56070,56098
24019506,90496,44570,44598
24019507,133335,58850,58878
24019508,135654,58496,58524
24019509,205289,100993,101021
24019510,114937,53449,53477
24019511,105740,51574,51602
24019512,98934,46812,46840
24019513,63878,30764,30792
24019514,137108,64924,64952
24019515,115350,51393,51421
24019516,126631,53569,53597
24019517,66750,24409,24437
24019518,189990,77387,77415
24019519,191478,87980,88008
24019520,146031,52039,52067
24019521,230360,95165,95193
24019522,143280,55940,55968
24019523,78249,35258,35286
24019524,194474,81244,81272
24019525,219321,101385,101413
24019526,63515,25032,25060
24019527,104697,42420,42448
24019528,158343,68589,68617
24019529,250094,122943,122971
24019530,140501,62032,62060
24019531,110404,44604,44632
24019532,122908,53946,53974
24019533,164931,76515,76543
24019534,131958,59682,59710
24019535,98079,46351,46379
24019536,106068,47210,47238
24019537,97390,45340,45368
24019538,75511,37822,37850
24019539,153589,72364,72392
24019540,27591,13301,13329
24019541,197658,87305,87333
24019542,136058,61906,61934
24019543,30866,14921,14949
24019544,211580,94430,94458
24019545,156128,70314,70342
24019546,44857,20034,20062
24019547,56055,27557,27585
24019548,248598,106405,106433
24019549,23227,13112,13140
24019550,183378,83716,83744
24019551,184495,76736,76764
24019552,101849,44850,44878
24019553,122558,46581,46609
24019554,57757,27009,27037
24019555,227123,100590,100618
24019556,146248,68798,68826
24019557,138417,58742,58770
24019558,131206,59486,59514
24019559,86574,38417,38445
24019560,119827,55708,55736
24019561,111100,54149,54177
24019562,140080,64742,64770
24019563,76556,38286,38314
24019564,107957,53407,53435
24019565,138021,56955,56983
24019566,73894,35006,35034
24019567,39929,20408,20436
24019568,31218,15767,15795
24019569,239949,109274,109302
24019570,172490,83771,83799
24019571,101260,46633,46661
24019572,28183,14950,14978
24019573,174075,81272,81300
24019574,152899,73254,73282
24019575,90671,47524,47552
24019576,98125,46051,46079
24019577,141702,61701,61729
24019578,145376,66052,66080
24019579,103930,49450,49478
24019580,97905,46299,46327
24019581,99281,47900,47928
24019582,133049,67395,67423
24019583,78631,34950,34978
24019584,140898,65645,65673
24019585,119108,56653,56681
24019586,56547,28811,28839
24019587,165561,74622,74650
24019588,121794,58065,58093
24019589,71415,34926,34954
24019590,119442,52333,52361
24019591,166332,72633,72661
24019592,130892,55830,55858
24019593,84593,39692,39720
24019594,124415,61366,61394
24019595,176580,82929,82957
24019596,121120,63571,63599
24019597,113555,53837,53865
24019598,91072,43725,43753
24019599,121617,54119,54147
24019600,66923,31335,31363
24019601,124441,56518,56546
24019602,138026,64421,64449
24019603,92468,45247,45275
24019604,162150,68457,68485
24019605,92826,44548,44576
24019606,79796,37753,37781
24019607,58530,24424,24452
24019608,204132,83398,83426
24019609,289137,119983,120011
24019610,66152,24254,24282
24019611,55718,25979,26007
24019612,188379,76121,76149
24019613,284475,116423,116451
24019614,220105,96238,96266
24019615,14096,7207,7235
24019616,250944,105848,105876
24019617,121221,51859,51887
24019618,227309,92111,92139
24019619,204384,91597,91625
24019620,145751,64166,64194
24019621,147372,62830,62858
24019622,78100,36094,36122
24019623,128594,61559,61587
24019624,98143,46646,46674
24019625,134487,61463,61491
24019626,80585,37517,37545
24019627,118810,58640,58668
24019628,120711,58479,58507
24019629,119827,57961,57989
24019630,71137,34241,34269
24019631,100718,43347,43375
24019632,163070,70559,70587
24019633,145704,69092,69120
24019634,103481,47265,47293
24019635,100596,42997,43025
24019636,198625,89705,89733
24019637,89770,43261,43289
24019638,148985,69100,69128
24019639,127623,58611,58639
24019640,80515,39863,39891
24019641,84204,41271,41299
24019642,115383,55420,55448
24019643,185540,90387,90415
24019644,86555,40755,40783
24019645,149146,68575,68603
24019646,17525,9306,9334
24019647,143717,65622,65650
24019648,263494,120419,120447
24019649,144027,60028,60056
24019650,46504,21600,21628
24019651,174344,79361,79389
24019652,95430,42908,42936
24019653,160462,74574,74602
24019654,164868,69852,69880
24019655,365077,182940,182968
24019656,173106,74485,74513
24019657,120942,52418,52446
24019658,147123,68699,68727
24019659,135384,59269,59297
24019660,74207,34087,34115
24019661,94787,41137,41165
24019662,139082,65383,65411
24019663,141633,66239,66267
24019664,104614,47373,47401
24019665,137194,62597,62625
24019666,95212,45390,45418
24019667,123357,60560,60588
24019668,75432,35191,35219
24019669,81440,38576,38604
24019670,135168,65610,65638
24019671,176189,75106,75134
24019672,156236,70525,70553
24019673,110819,52376,52404
24019674,65435,29536,29564
24019675,117035,54072,54100
24019676,130510,56478,56506
24019677,179918,74507,74535
24019678,72215,34689,34717
24019679,103672,48687,48715
24019680,164621,85308,85336
24019681,90988,42702,42730
24019682,125456,56523,56551
24019683,111214,52709,52737
24019684,133677,62035,62063
24019685,123948,60185,60213
24019686,130191,59285,59313
24019687,186468,90173,90201
24019688,78076,35840,35868
24019689,119387,55002,55030
24019690,96620,47943,47971
24019691,102190,46545,46573
24019692,133268,60009,60037
24019693,112854,54172,54200
24019694,92489,42245,42273
24019695,102027,49296,49324
24019696,138342,64721,64749
24019697,48151,21769,21797
24019698,142048,69475,69503
24019699,116387,53854,53882
24019700,138671,68185,68213
24019701,111935,51196,51224
24019702,77600,36404,36432
24019703,141360,69295,69323
24019704,176993,80284,80312
24019705,140297,65347,65375
24019706,97615,44381,44409
24019707,123929,58197,58225
24019708,125437,62947,62975
24019709,100396,46167,46195
24019710,85436,40194,40222
24019711,209595,94872,94900
24019712,13881,7137,7165
24019713,3779,1550,1578
24019714,154319,66680,66708
24019715,217497,101706,101734
24019716,93993,43606,43634
24019717,182802,87358,87386
24019718,109825,50795,50823
24019719,86404,40078,40106
24019720,158233,71158,71186
24019721,74973,33505,33533
24019722,138623,70066,70094
24019723,167057,78785,78813
24019724,103590,50489,50517
24019725,97824,44454,44482
24019726,163318,66704,66732
24019727,125338,55823,55851
24019728,118600,56131,56159
24019729,142534,69213,69241
24019730,78726,38531,38559
24019731,178094,85908,85936
24019732,94325,44358,44386
24019733,87966,43149,43177
24019734,62081,26951,26979
24019735,195799,89177,89205
24019736,107948,53374,53402
24019737,150068,68606,68634
24019738,119445,57344,57372
24019739,82224,39593,39621
24019740,119057,55324,55352
24019741,96191,44191,44219
24019742,49981,24266,24294
24019743,151636,71831,71859
24019744,122946,55622,55650
24019745,139484,62203,62231
24019746,106626,44514,44542
24019747,122547,55171,55199
24019748,143127,65345,65373
24019749,106394,50846,50874
24019750,94249,46708,46736
24019751,161496,70014,70042
24019752,99170,48560,48588
24019753,104850,50020,50048
24019754,123838,54470,54498
24019755,49381,22782,22810
24019756,34482,17227,17255
24019757,202834,95601,95629
24019758,201781,99316,99344
24019759,135901,63000,63028
24019760,121736,52998,53026
24019761,119176,52657,52685
24019762,149559,67093,67121
24019763,125632,63449,63477
24019764,113789,50678,50706
24019765,130077,60109,60137
24019766,143096,61662,61690
24019767,140643,59196,59224
24019768,131276,55759,55787
24019769,92149,42719,42747
24019770,119566,54959,54987
24019771,161343,65013,65041
24019772,79053,33941,33969
24019773,34249,16222,16250
24019774,145668,68391,68419
24019775,128361,58212,58240
24019776,140220,61324,61352
24019777,174382,92756,92784
24019778,131664,61593,61621
24019779,206326,112461,112489
24019780,105223,48190,48218
24019781,206394,109351,109379
24019782,149698,70104,70132
24019783,228869,118641,118669
24019784,107722,46179,46207
24019785,176914,98770,98798
24019786,93908,42900,42928
24019787,149763,63284,63312
24019788,314197,147104,147132
24019789,146006,68969,68997
24019790,255021,127728,127756
24019791,115053,51485,51513
24019792,96901,47904,47932
24019793,184266,98185,98213
24019794,145655,74633,74661
24019795,163161,90977,91005
24019796,152574,84688,84716
24019797,133874,64406,64434
24019798,177611,97639,97667
24019799,71712,34265,34293
24019800,115639,56189,56217
24019801,96418,42314,42342
24019802,125104,57405,57433
24019803,46229,25917,25945
24019804,304451,147596,147624
24019805,113300,55140,55168
24019806,40268,16459,16487
24019807,97367,37850,37878
24019808,244236,105987,106015
24019809,109433,45906,45934
24019810,172979,69124,69152
24019811,186106,83857,83885
24019812,222151,98773,98801
24019813,96911,42100,42128
24019814,145188,60730,60758
24019815,130958,59167,59195
24019816,111361,47859,47887
24019817,270504,140369,140397
24019818,28509,14155,14183
24019819,193561,85377,85405
24019820,34099,17333,17361
24019821,88156,36214,36242
24019822,239313,104939,104967
24019823,146581,65595,65623
24019824,121002,50232,50260
24019825,158476,69603,69631
24019826,205519,84235,84263
24019827,179861,77412,77440
24019828,264481,113484,113512
24019829,111818,45755,45783
24019830,133270,46347,46375
24019831,159122,63546,63574
24019832,5103,2382,2410
24019833,33460,13594,13622
24019834,111075,49693,49721
24019835,197655,89283,89311
24019836,143009,56312,56340
24019837,270948,120674,120702
24019838,34481,18039,18067
24019839,260986,114025,114053
24019840,18121,9116,9144
24019841,160784,69652,69680
24019842,213396,105650,105678
24019843,193730,91250,91278
24019844,136233,59744,59772
24019845,148420,66196,66224
24019846,147317,65422,65450
24019847,147676,78572,78600
24019848,111848,52425,52453
24019849,85191,40047,40075
24019850,150802,69508,69536
24019851,75526,35874,35902
24019852,171056,74779,74807
24019853,128649,55070,55098
24019854,165918,76709,76737
24019855,164141,75224,75252
24019856,84769,39308,39336
24019857,154199,69948,69976
24019858,111177,56332,56360
24019859,205224,87435,87463
24019860,96577,40244,40272
24019861,150956,66118,66146
24019862,87914,39786,39814
24019863,51339,29804,29832
24019864,197098,84662,84690
24019865,161382,73125,73153
24019866,130455,57878,57906
24019867,117163,53729,53757
24019868,38121,19384,19412
24019869,170664,83326,83354
24019870,23392,9221,9249
24019871,86000,46691,46719
24019872,154357,62762,62790
24019873,185256,87622,87650
24019874,119368,53937,53965
24019875,130461,58856,58884
24019876,24689,13117,13145
24019877,242594,125552,125580
24019878,127184,61433,61461
24019879,87155,39945,39973
24019880,28945,14064,14092
24019881,194173,90048,90076
24019882,117705,54296,54324
24019883,177063,80595,80623
24019884,78701,38170,38198
24019885,21667,10727,10755
24019886,193373,91976,92004
24019887,119663,59546,59574
24019888,112605,51124,51152
24019889,82225,39665,39693
24019890,138146,61460,61488
24019891,44348,19259,19287
24019892,213230,90023,90051
24019893,90490,42520,42548
24019894,162316,78070,78098
24019895,228548,115765,115793
24019896,105448,48998,49026
24019897,22314,11630,11658
24019898,213803,96355,96383
24019899,103135,49096,49124
24019900,121318,52528,52556
24019901,168744,70393,70421
24019902,81463,33123,33151
24019903,150666,74606,74634
24019904,99515,48289,48317
24019905,16934,8397,8425
24019906,121180,52497,52525
24019907,130494,62997,63025
24019908,111980,61916,61944
24019909,151834,72871,72899
24019910,118801,55155,55183
24019911,73702,33461,33489
24019912,75290,38480,38508
24019913,86853,43429,43457
24019914,80272,39020,39048
24019915,363177,96047,96075
24019916,101628,51082,51110
24019917,168250,77678,77706
24019918,115136,56062,56090
24019919,127082,60921,60949
24019920,81758,38197,38225
24019921,94724,44240,44268
24019922,96231,44011,44039
24019923,112531,50845,50873
24019924,94444,47872,47900
24019925,110215,51049,51077
24019926,130821,58678,58706
24019927,153697,66671,66699
24019928,114997,50884,50912
24019929,134790,62262,62290
24019930,101890,48382,48410
24019931,108402,48394,48422
24019932,89971,41243,41271
24019933,203171,95503,95531
24019934,127350,54303,54331
24019935,157660,67050,67078
24019936,104806,42871,42899
24019937,211164,92856,92884
24019938,57960,29447,29475
24019939,169029,75861,75889
24019940,175234,72201,72229
24019941,184428,87335,87363
24019942,60945,28425,28453
24019943,169970,74708,74736
24019944,146380,68833,68861
24019945,133048,60186,60214
24019946,78967,38027,38055
24019947,153105,71087,71115
24019948,78399,36210,36238
24019949,118227,55841,55869
24019950,115448,54507,54535
24019951,145323,75978,76006
24019952,138871,64408,64436
24019953,175985,80627,80655
24019954,135988,61151,61179
24019955,129262,64030,64058
24019956,62921,31533,31561
24019957,168549,82208,82236
24019958,136175,58668,58696
24019959,75213,27018,27046
24019960,206067,91694,91722
24019961,154221,67098,67126
24019962,238871,106942,106970
24019963,137358,63177,63205
24019964,79546,30904,30932
24019965,172204,64781,64809
24019966,42444,20981,21009
24019967,127146,53263,53291
24019968,194674,73650,73678
24019969,90355,38534,38562
24019970,63481,31589,31617
24019971,220786,96482,96510
24019972,256620,113639,113667
24019973,219667,92864,92892
24019974,206281,92799,92827
24019975,170444,82317,82345
24019976,151947,68641,68669
24019977,85294,38339,38367
24019978,122037,55525,55553
24019979,74201,37601,37629
24019980,65223,27976,28004
24019981,74868,37682,37710
24019982,168207,81514,81542
24019983,106350,53144,53172
24019984,207456,106028,106056
24019985,78192,38568,38596
24019986,100159,46088,46116
24019987,77952,37068,37096
24019988,213099,100736,100764
24019989,112031,53959,53987
24019990,125498,60978,61006
24019991,62740,27438,27466
24019992,29965,13997,14025
24019993,211995,107300,107328
24019994,121035,60081,60109
24019995,96067,43139,43167
24019996,30850,14840,14868
