block_number,raw_size_bytes,compressed_size_bytes,compression_time_us,decompression_time_us
24019447,119788,63982,703.17,54.79
24019448,97580,45129,218.29,45.04
24019449,131708,63174,391.79,36.17
24019450,125940,66013,498.17,38.33
24019451,97716,46473,190.75,27.08
24019452,27684,16114,56.75,10.62
24019453,188628,90759,443.83,81.29
24019454,108916,54009,261.0,29.12
24019455,113396,54221,230.63,30.96
24019456,79444,30843,150.54,23.91
24019457,174608,81371,360.42,47.92
24019458,115792,56386,232.71,31.46
24019459,119716,55485,232.5,31.88
24019460,118896,56410,233.54,32.88
24019461,75440,35027,147.0,20.38
24019462,119020,53448,224.58,32.75
24019463,95484,48250,211.34,25.67
24019464,143256,69221,302.29,38.88
24019465,143380,65008,283.38,40.25
24019466,114996,55616,228.71,30.29
24019467,115136,53456,230.04,33.71
24019468,78036,38381,151.75,21.25
24019469,110848,54914,227.0,29.25
24019470,68560,30632,137.13,19.58
24019471,193128,81036,379.17,56.71
24019472,141228,64738,288.38,39.21
24019473,16252,8647,47.25,5.38
24019474,190296,82072,363.71,54.17
24019475,86396,39398,165.37,23.75
24019476,104000,52700,215.42,27.54
24019477,92680,44970,196.92,26.0
24019478,124936,54813,238.42,34.62
24019479,121572,55304,238.67,34.13
24019480,89156,42224,177.0,24.17
24019481,117680,55304,238.25,32.54
24019482,144908,63056,288.96,41.59
24019483,107004,48381,203.79,29.96
24019484,169240,94383,337.37,44.87
24019485,78288,38570,151.5,20.79
24019486,144932,67606,291.58,40.21
24019487,98864,46807,190.71,27.79
24019488,96688,46976,186.96,26.29
24019489,171672,89421,329.67,45.21
24019490,132152,64491,277.21,35.5
24019491,112460,52361,218.42,31.0
24019492,87588,42044,167.87,23.67
24019493,64560,28107,123.83,19.25
24019494,224488,106288,479.75,60.83
24019495,100260,44866,186.12,27.79
24019496,35040,15944,64.54,13.46
24019497,30892,16876,69.25,15.58
24019498,231792,100426,461.42,66.21
24019499,94024,45631,184.58,26.75
24019500,132680,61515,266.83,36.75
24019501,113020,56011,228.42,30.0
24019502,72884,34530,137.58,19.75
24019503,98944,48187,198.87,26.75
24019504,120464,56252,235.96,32.17
24019505,118544,55206,228.25,31.71
24019506,88916,43785,171.5,23.42
24019507,131012,57834,245.21,35.79
24019508,133328,57455,258.92,38.25
24019509,201668,99519,412.96,54.12
24019510,112980,52617,220.12,30.75
24019511,103932,50770,206.33,31.04
24019512,97228,46026,193.63,28.75
24019513,62764,30253,125.75,17.83
24019514,134724,63846,272.92,36.12
24019515,113464,50581,210.5,30.83
24019516,124436,52635,223.46,33.29
24019517,65572,23896,104.83,18.79
24019518,186712,75990,338.33,52.29
24019519,188084,86695,371.33,50.38
24019520,143496,51084,237.29,40.58
24019521,226432,93414,426.87,62.58
24019522,140792,55128,249.67,39.92
24019523,76848,34694,142.71,21.38
24019524,191160,79802,352.0,53.54
24019525,215536,99696,430.04,58.92
24019526,62412,24505,110.62,18.29
24019527,102900,41613,179.37,29.12
24019528,155604,67357,297.42,43.04
24019529,245748,121208,488.21,82.83
24019530,138076,60978,273.75,38.42
24019531,108468,43925,197.17,31.29
24019532,120824,52965,235.08,33.92
24019533,162036,75269,331.04,43.04
24019534,129684,58696,246.83,35.21
24019535,96388,45572,183.67,26.42
24019536,104224,46552,192.46,28.96
24019537,95732,44470,182.54,27.04
24019538,74216,37266,147.04,20.08
