block_number,execution_time_us,rss_bytes
24019447,3539884,177864704
24019448,2448204,273809408
24019449,2605485,371392512
24019450,2237381,450805760
24019451,1443601,502054912
24019452,615496,522600448
24019453,2916591,624558080
24019454,1536430,676036608
24019455,1669928,731299840
24019456,892983,761675776
24019457,2295597,836796416
24019458,1329766,880525312
24019459,1347375,924631040
24019460,1201648,963690496
24019461,656188,983859200
24019462,1488119,1032962048
24019463,958105,1062141952
24019464,1560815,1113276416
24019465,1083369,1146142720
24019466,937087,1175552000
24019467,1056736,1209139200
24019468,747207,1231765504
24019469,1163894,1266941952
24019470,601232,1285406720
24019471,1860145,1346093056
24019472,1371172,1387364352
24019473,183608,1392869376
24019474,1885924,1454047232
24019475,727965,1476837376
24019476,935027,1504870400
24019477,799625,1528741888
24019478,1026357,1560887296
24019479,1072116,1593540608
24019480,651818,1613627392
24019481,1050923,1648017408
24019482,1725964,1704132608
24019483,850190,1730658304
24019484,1571773,1782300672
24019485,621596,1800601600
24019486,1182016,1837563904
24019487,805511,1861926912
24019488,808708,1886208000
24019489,1106185,1921548288
24019490,904282,1949679616
24019491,617653,1968160768
24019492,652558,1986805760
24019493,699517,2009792512
24019494,1668205,2062237696
24019495,690845,2083176448
24019496,290265,2091728896
24019497,382166,2103836672
24019498,1794389,2162262016
24019499,728001,2184167424
24019500,906130,2211643392
24019501,789251,2235203584
24019502,513270,2250506240
24019503,649151,2269741056
24019504,877617,2296545280
24019505,876331,2324480000
24019506,532010,2339749888
24019507,923060,2368028672
24019508,757970,2390884352
24019509,876364,2415722496
24019510,727481,2436907008
24019511,626534,2455863296
24019512,545838,2473492480
24019513,555606,2490286080
24019514,952265,2518155264
24019515,611491,2536521728
24019516,591868,2554019840
24019517,360740,2564079616
24019518,1207736,2600779776
24019519,579724,2617098240
24019520,585406,2633334784
24019521,1555807,2681356288
24019522,713919,2700902400
24019523,567938,2716696576
24019524,1392145,2756935680
24019525,1251076,2794323968
24019526,163213,2798764032
24019527,458930,2811576320
24019528,922964,2836250624
24019529,1451392,2879078400
24019530,627345,2896248832
24019531,404722,2907193344
24019532,577762,2924101632
24019533,918832,2950643712
24019534,848086,2975399936
24019535,573572,2991751168
24019536,628755,3009609728
24019537,421803,3021570048
24019538,383259,3031367680
24019539,839042,3056140288
24019540,124276,3059367936
24019541,1008553,3087974400
24019542,642762,3105177600
24019543,170951,3109879808
24019544,1061159,3141484544
24019545,643461,3158474752
24019546,181541,3164078080
24019547,329859,3173089280
24019548,1143444,3204874240
24019549,146511,3209052160
24019550,985020,3236462592
24019551,661916,3254091776
24019552,442521,3266068480
24019553,293714,3273703424
24019554,264980,3281240064
24019555,1199618,3315023872
24019556,902886,3342270464
24019557,769480,3364749312
24019558,1013259,3394879488
24019559,361089,3404103680
24019560,550091,3417980928
24019561,604675,3434151936
24019562,824838,3457269760
24019563,442664,3469312000
24019564,525953,3484139520
24019565,758080,3505815552
24019566,356065,3515301888
24019567,186409,3520069632
24019568,143704,3523723264
24019569,1120811,3555819520
24019570,786920,3577544704
24019571,626700,3596910592
24019572,195419,3601956864
24019573,913143,3627499520
24019574,634499,3644096512
24019575,522083,3658153984
24019576,519194,3673079808
24019577,597845,3689496576
24019578,748265,3710664704
24019579,481898,3724312576
24019580,486089,3738189824
24019581,439459,3749216256
24019582,679482,3768090624
24019583,409115,3778363392
24019584,759395,3800154112
24019585,607057,3817439232
24019586,352403,3827269632
24019587,845221,3850321920
24019588,750492,3872292864
24019589,363723,3882008576
24019590,672877,3900866560
24019591,768373,3922231296
24019592,626069,3940057088
24019593,436073,3951804416
24019594,554439,3965829120
24019595,826389,3989569536
24019596,1127123,4025745408
24019597,454494,4036902912
24019598,416330,4047454208
24019599,766386,4071849984
24019600,399177,4082941952
24019601,748226,4103667712
24019602,626176,4120379392
24019603,484786,4132618240
24019604,712344,4152868864
24019605,503809,4167204864
24019606,334465,4176035840
24019607,148204,4178739200
24019608,638711,4193599488
24019609,1244546,4226793472
24019610,153912,4230905856
24019611,281664,4237639680
24019612,684511,4253581312
24019613,905853,4275748864
24019614,951719,4300177408
24019615,78098,4302290944
24019616,885174,4324294656
24019617,325731,4332257280
24019618,872413,4355260416
24019619,660079,4371693568
24019620,581594,4387028992
24019621,420704,4397514752
24019622,297370,4405411840
24019623,774808,4425744384
24019624,470514,4438474752
24019625,584379,4453384192
24019626,296579,4460560384
24019627,472862,4472619008
24019628,545584,4487069696
24019629,718218,4505960448
24019630,347304,4515020800
24019631,431117,4526555136
24019632,741929,4547002368
24019633,674725,4564287488
24019634,418238,4574347264
24019635,328087,4582326272
24019636,914585,4604461056
24019637,397900,4615176192
24019638,508806,4628201472
24019639,565988,4643586048
24019640,344487,4652728320
24019641,388981,4662460416
24019642,500249,4676173824
24019643,886555,4700979200
24019644,400421,4711612416
24019645,510144,4725211136
24019646,106351,4728029184
24019647,554728,4742299648
24019648,1117389,4772134912
24019649,491366,4784390144
24019650,191112,4788928512
24019651,705812,4807229440
24019652,401264,4817289216
24019653,829366,4840112128
24019654,753688,4861591552
24019655,1915393,4922195968
24019656,682148,4940021760
24019657,462847,4952604672
24019658,585617,4967301120
24019659,652164,4984455168
24019660,304682,4992679936
24019661,311108,4999938048
24019662,470974,5011668992
24019663,558571,5025202176
24019664,354409,5033607168
24019665,446350,5043748864
24019666,432842,5054054400
24019667,425473,5064835072
24019668,282805,5072158720
24019669,364527,5080694784
24019670,617358,5096783872
24019671,496946,5109071872
24019672,519670,5122441216
24019673,415956,5132681216
24019674,304556,5141397504
24019675,497657,5154635776
24019676,420809,5164875776
24019677,459482,5176459264
24019678,283172,5183766528
24019679,366883,5192466432
24019680,673136,5210849280
24019681,309070,5217910784
24019682,352592,5225840640
24019683,366984,5234442240
24019684,490831,5246713856
24019685,600451,5262213120
24019686,449807,5273059328
24019687,567579,5287100416
24019688,288749,5293391872
24019689,458053,5304352768
24019690,386665,5313970176
24019691,382723,5322915840
24019692,601834,5337612288
24019693,448051,5349359616
24019694,320677,5357043712
24019695,471127,5368233984
24019696,648625,5385240576
24019697,182349,5389942784
24019698,827259,5412028416
24019699,418471,5421989888
24019700,534613,5436014592
24019701,460095,5448138752
24019702,388041,5458591744
24019703,759209,5478187008
24019704,604742,5494128640
24019705,463992,5504958464
24019706,347109,5513183232
24019707,453085,5524537344
24019708,519022,5538086912
24019709,285372,5544837120
24019710,420843,5557092352
24019711,783537,5578833920
24019712,81557,5580881920
24019713,32328,5581914112
24019714,589726,5598248960
24019715,977949,5623201792
24019716,335110,5632458752
24019717,799841,5653757952
24019718,427814,5665013760
24019719,374936,5674237952
24019720,515254,5687197696
24019721,163068,5690359808
24019722,742401,5710741504
24019723,603439,5725388800
24019724,385518,5735120896
24019725,364710,5744771072
24019726,589137,5761892352
24019727,373860,5770018816
24019728,388842,5779374080
24019729,490762,5791662080
24019730,227778,5796773888
24019731,543659,5810438144
24019732,288224,5817614336
24019733,309936,5824757760
24019734,119471,5827166208
24019735,827399,5850087424
24019736,365637,5859246080
24019737,404726,5868634112
24019738,417155,5878808576
24019739,321931,5886984192
24019740,562911,5901008896
24019741,313636,5909266432
24019742,196030,5913673728
24019743,572593,5928091648
24019744,346099,5935988736
24019745,433022,5945917440
24019746,261122,5952356352
24019747,478177,5964627968
24019748,482844,5977423872
24019749,352579,5985943552
24019750,392892,5996888064
24019751,565879,6011961344
24019752,328231,6020284416
24019753,383348,6030508032
24019754,395645,6039601152
24019755,180970,6043336704
24019756,177392,6047793152
24019757,1135136,6077825024
24019758,678687,6095634432
24019759,348581,6103547904
24019760,388779,6112804864
24019761,336980,6120587264
24019762,568878,6133727232
24019763,282742,6141116416
24019764,352305,6149750784
24019765,552757,6164135936
24019766,441133,6175162368
24019767,672352,6193741824
24019768,668794,6211682304
24019769,299924,6219186176
24019770,412577,6229852160
24019771,424178,6240550912
24019772,288353,6247514112
24019773,189777,6251905024
24019774,584083,6266699776
24019775,444980,6278168576
24019776,538871,6292717568
24019777,439863,6304956416
24019778,538076,6318997504
24019779,429363,6330187776
24019780,392828,6339526656
24019781,430116,6350110720
24019782,656071,6368804864
24019783,529918,6382665728
24019784,316359,6390497280
24019785,382345,6399901696
24019786,311740,6406995968
24019787,496299,6419791872
24019788,796727,6440173568
24019789,528657,6454886400
