block_number,execution_time_us,hint_construction_time_us,hint_write_time_us,rss_bytes
24019447,3630523,26642,10715,155516928
24019448,2484296,26629,10183,244318208
24019449,2689360,29256,9728,337887232
24019450,2267278,28039,11943,414531584
24019451,1613900,25117,11961,468942848
24019452,601395,9757,12741,490242048
24019453,3053008,41703,12583,591314944
24019454,1509478,23217,11870,644644864
24019455,1662752,29799,12997,700039168
24019456,999006,20750,12321,732332032
24019457,2357305,34723,12329,807272448
24019458,1416555,28464,16663,853606400
24019459,1318420,36177,12821,895614976
24019460,1231592,29446,12501,933625856
24019461,655287,20208,12475,954597376
24019462,1282193,28535,11845,993558528
24019463,947085,23762,12305,1022033920
24019464,1713487,34630,13097,1075068928
24019465,1145898,33699,13290,1109688320
24019466,1091029,26864,12076,1142980608
24019467,1053697,26907,12843,1176158208
24019468,784676,22285,14739,1199210496
24019469,1148425,27931,13881,1233059840
24019470,605112,16659,17142,1251819520
24019471,1898088,42143,12966,1311899648
24019472,1383269,35172,12293,1352974336
24019473,151262,1588,9682,1358544896
24019474,1892940,41643,12711,1418084352
24019475,738777,18702,11833,1440432128
24019476,947067,26350,12481,1468022784
24019477,832739,23301,12453,1491877888
24019478,1005541,28304,11840,1521516544
24019479,1053248,32945,12771,1551908864
24019480,703939,24958,12484,1571979264
24019481,1303044,30281,11734,1611792384
24019482,1180760,33136,12992,1646624768
24019483,943464,40637,13422,1673560064
24019484,1706808,35122,12371,1726005248
24019485,690383,20302,12335,1745551360
24019486,1297391,31721,12192,1781874688
24019487,876450,25317,14424,1807024128
24019488,867888,23871,12450,1831550976
24019489,1181058,46724,12971,1866891264
24019490,1099632,30584,12506,1895825408
24019491,737759,23164,11823,1916108800
24019492,684784,23380,12700,1934704640
24019493,732620,13581,13261,1957445632
24019494,1806357,40051,219012,2011709440
24019495,582405,25179,12623,2034106368
24019496,299130,8228,12644,2042806272
24019497,437565,13842,10223,2054668288
24019498,1960863,51002,13208,2111848448
24019499,764902,22121,12574,2133803008
24019500,1107677,34347,13151,2164359168
24019501,869223,31350,12930,2188296192
24019502,545355,18500,13096,2203582464
24019503,707575,25268,12384,2222669824
24019504,949678,31335,13053,2250833920
24019505,993199,28273,12839,2278588416
24019506,537270,19487,12518,2293645312
24019507,971230,38185,13910,2322317312
24019508,826758,31160,12486,2345041920
24019509,1019667,41285,12848,2370224128
24019510,754340,29137,12032,2391162880
24019511,686312,26707,12665,2410053632
24019512,680555,27476,12808,2427879424
24019513,582696,15793,17098,2444378112
24019514,995465,30329,13197,2471428096
24019515,678070,24697,12015,2490040320
24019516,789547,32262,12832,2511290368
24019517,379071,14148,12374,2520956928
24019518,1279098,48708,13040,2555805696
24019519,953288,36870,12339,2581463040
24019520,697713,19580,10632,2600386560
24019521,1669715,50292,12824,2647277568
24019522,626208,32521,12300,2662449152
24019523,565155,18484,11954,2677768192
24019524,1418933,42656,12995,2715533312
24019525,3642578,24934,12761,2855157760
24019526,192973,6997,11851,2861694976
24019527,532037,21673,9764,2874998784
24019528,967810,37324,13032,2900426752
24019529,1587274,49107,13669,2944679936
24019530,614866,34925,13209,2960900096
