block_number,wait_time_us,execution_time_us,rss_bytes
24019447,0,13264,23305256960
24019448,0,12344,23309991936
24019449,0,11841,23313514496
24019450,0,10289,23314006016
24019451,0,7332,23314382848
24019452,0,6704,23314726912
24019453,0,18041,23315644416
24019454,0,8172,23316103168
24019455,0,10705,23317004288
24019456,0,3253,23317184512
24019457,0,16629,23318003712
24019458,0,7299,23318380544
24019459,0,9713,23318839296
24019460,0,10302,23319347200
24019461,0,6685,23319740416
24019462,0,11189,23320281088
24019463,0,12109,23321477120
24019464,0,12178,23322099712
24019465,0,8525,23322591232
24019466,0,9576,23323082752
24019467,0,9034,23323525120
24019468,0,8880,23323951104
24019469,0,15709,23324770304
24019470,0,4958,23325016064
24019471,0,12072,23325605888
24019472,0,10109,23326113792
24019473,0,2863,23326261248
24019474,0,11809,23326818304
24019475,0,6250,23327145984
24019476,0,10446,23329030144
24019477,0,8470,23329472512
24019478,0,8322,23329882112
24019479,0,11134,23330439168
24019480,0,8347,23330865152
24019481,0,9291,23331340288
24019482,0,9621,23331815424
24019483,0,10923,23332356096
24019484,0,10408,23332880384
24019485,0,11122,23333421056
24019486,0,13883,23334109184
24019487,0,10825,23334666240
24019488,0,15110,23335403520
24019489,0,9265,23335845888
24019490,0,9006,23336370176
24019491,0,8813,23336812544
24019492,0,11048,23337304064
24019493,0,4129,23337467904
24019494,0,15222,23338139648
24019495,0,7650,23338467328
24019496,0,4360,23338647552
24019497,0,6251,23338893312
24019498,0,12171,23339384832
24019499,0,8461,23339761664
24019500,0,11760,23340236800
24019501,0,14027,23340875776
24019502,0,6120,23341154304
24019503,0,7071,23341432832
24019504,0,13025,23344807936
24019505,0,13898,23345381376
24019506,0,7673,23345692672
24019507,0,10355,23346151424
24019508,0,8641,23346610176
24019509,0,9082,23347134464
24019510,0,7646,23347494912
24019511,0,8540,23347871744
24019512,0,9457,23348281344
24019513,0,7313,23348625408
24019514,0,11062,23349084160
24019515,0,8282,23349493760
24019516,0,6976,23349821440
24019517,0,1997,23349919744
24019518,0,10778,23350362112
24019519,0,4507,23350558720
24019520,0,1568,23350640640
24019521,0,10897,23351148544
24019522,0,4821,23351377920
24019523,0,10075,23351820288
24019524,0,8178,23352180736
24019525,0,14634,23352836096
24019526,0,1819,23352934400
24019527,0,5708,23353212928
24019528,0,7848,23353556992
24019529,0,18803,23354376192
24019530,0,10035,23354834944
24019531,0,5845,23355097088
24019532,0,5217,23355326464
24019533,0,11920,23355850752
24019534,0,8883,23356243968
24019535,0,8323,23356571648
24019536,0,9241,23356964864
24019537,0,5703,23357210624
24019538,0,6862,23357472768
24019539,0,12052,23358013440
24019540,0,2964,23358144512
24019541,0,15246,23358799872
24019542,0,10552,23359242240
24019543,0,3806,23359422464
24019544,0,13867,23359995904
24019545,0,8532,23360389120
24019546,0,2599,23360503808
24019547,0,5975,23360782336
24019548,0,12879,23361355776
24019549,0,2875,23361486848
24019550,0,15884,23362125824
24019551,0,9316,23362519040
24019552,0,8811,23362879488
24019553,0,3382,23363059712
24019554,0,4127,23363239936
24019555,0,16443,23363895296
24019556,0,10509,23364370432
24019557,0,8828,23364730880
24019558,0,9619,23365156864
24019559,0,5246,23365386240
24019560,0,9007,23365795840
24019561,0,8053,23366156288
24019562,0,10914,23366582272
24019563,0,7141,23366909952
24019564,0,10387,23367335936
24019565,0,8266,23367663616
24019566,0,7594,23367991296
24019567,0,5054,23368237056
24019568,0,3409,23368400896
24019569,0,15414,23369023488
24019570,0,10352,23369449472
24019571,0,6724,23369744384
24019572,0,5067,23369957376
24019573,0,13358,23370530816
24019574,0,10332,23370956800
24019575,0,7878,23371284480
24019576,0,8557,23371644928
24019577,0,9470,23372038144
24019578,0,9992,23372496896
24019579,0,6679,23372808192
24019580,0,7956,23373135872
24019581,0,9373,23373496320
24019582,0,8165,23373758464
24019583,0,7754,23374004224
24019584,0,10430,23374282752
24019585,0,10425,23374561280
24019586,0,5591,23374725120
24019587,0,11725,23374970880
24019588,0,10179,23375249408
24019589,0,7267,23375429632
24019590,0,9299,23375708160
24019591,0,9986,23376412672
24019592,0,6530,23376838656
24019593,0,7206,23377608704
24019594,0,10733,23379214336
24019595,0,11132,23380148224
24019596,0,7185,23380443136
24019597,0,9711,23380819968
24019598,0,8656,23381180416
24019599,0,8127,23381491712
24019600,0,8064,23381852160
24019601,0,11280,23382343680
24019602,0,13503,23382966272
24019603,0,11465,23383441408
24019604,0,11147,23383900160
24019605,0,6720,23384178688
24019606,0,6925,23384440832
24019607,0,2925,23384571904
24019608,0,7059,23384866816
24019609,0,12692,23385391104
24019610,0,2092,23385505792
24019611,0,7865,23386521600
24019612,0,7868,23386849280
24019613,0,10488,23387308032
24019614,0,18105,23388094464
24019615,0,2561,23388209152
24019616,0,16045,23388897280
24019617,0,6439,23389192192
24019618,0,9732,23389618176
24019619,0,9968,23390076928
24019620,0,9856,23390486528
24019621,0,7904,23390814208
24019622,0,4279,23390994432
24019623,0,20874,23391879168
24019624,0,7956,23392256000
24019625,0,10123,23392714752
24019626,0,8290,23393075200
24019627,0,8831,23393452032
24019628,0,9379,23393845248
24019629,0,9201,23394238464
24019630,0,6490,23394533376
24019631,0,6070,23394762752
24019632,0,9752,23395188736
24019633,0,9667,23395647488
24019634,0,8731,23396024320
24019635,0,4225,23396220928
24019636,0,15457,23396876288
24019637,0,6745,23397187584
24019638,0,9339,23397580800
24019639,0,7814,23397924864
24019640,0,7239,23398236160
24019641,0,6868,23398612992
24019642,0,6321,23398875136
24019643,0,14715,23399497728
24019644,0,6186,23399759872
24019645,0,8878,23400136704
24019646,0,2503,23400251392
24019647,0,9306,23400660992
24019648,0,14656,23401267200
24019649,0,7934,23401660416
24019650,0,4199,23401889792
24019651,0,12868,23402446848
24019652,0,8981,23402889216
24019653,0,16388,23403610112
24019654,0,6730,23403921408
24019655,0,11042,23404396544
24019656,0,10429,23404871680
24019657,0,8109,23405215744
24019658,0,10272,23405641728
24019659,0,12380,23406166016
24019660,0,5567,23406428160
24019661,0,8892,23406837760
24019662,0,8472,23407362048
24019663,0,11738,23407886336
24019664,0,8276,23408263168
24019665,0,9511,23408705536
24019666,0,7489,23409033216
24019667,0,8128,23409410048
24019668,0,5285,23409639424
24019669,0,7193,23409934336
24019670,0,14037,23410540544
24019671,0,11314,23411064832
24019672,0,7847,23411408896
24019673,0,8754,23411802112
24019674,0,6344,23412097024
24019675,0,9670,23412506624
24019676,0,8283,23412867072
24019677,0,9626,23413325824
24019678,0,7578,23413669888
24019679,0,9533,23414079488
24019680,0,9420,23414489088
24019681,0,6759,23414800384
24019682,0,8253,23415193600
24019683,0,9160,23415586816
24019684,0,9336,23415963648
24019685,0,10112,23416455168
24019686,0,9074,23416864768
24019687,0,10241,23417307136
24019688,0,5450,23417552896
24019689,0,9898,23417978880
24019690,0,7857,23418322944
24019691,0,8905,23418699776
24019692,0,14177,23419289600
24019693,0,8896,23419666432
24019694,0,6343,23419944960
24019695,0,13833,23420534784
24019696,0,9373,23420911616
24019697,0,2410,23421026304
24019698,0,20552,23421829120
24019699,0,7577,23422156800
24019700,0,11499,23422648320
24019701,0,7328,23422959616
24019702,0,6351,23423221760
24019703,0,18921,23424008192
24019704,0,9283,23424417792
24019705,0,9935,23424860160
24019706,0,7460,23425204224
24019707,0,11458,23425662976
24019708,0,10912,23426154496
24019709,0,6086,23426400256
24019710,0,6719,23426695168
24019711,0,11530,23427153920
24019712,0,2827,23427301376
24019713,0,202,23427317760
24019714,0,7751,23427645440
24019715,0,23781,23428644864
24019716,0,3904,23428825088
24019717,0,17437,23429529600
24019718,0,11132,23430021120
24019719,0,7647,23430348800
24019720,0,8328,23430692864
24019721,0,3950,23430873088
24019722,0,7530,23431217152
24019723,0,12613,23431757824
24019724,0,7730,23432101888
24019725,0,7703,23432265728
24019726,0,7013,23432396800
24019727,0,8346,23432642560
24019728,0,7446,23432806400
24019729,0,8690,23433117696
24019730,0,5324,23433265152
24019731,0,12760,23433543680
24019732,0,6217,23433707520
24019733,0,6936,23433904128
24019734,0,2088,23433969664
24019735,0,13324,23434280960
24019736,0,8892,23434625024
24019737,0,8000,23435231232
24019738,0,10491,23436492800
24019739,0,6479,23436738560
24019740,0,15844,23437230080
24019741,0,7387,23437524992
24019742,0,4572,23437721600
24019743,0,13188,23438278656
24019744,0,7686,23438589952
24019745,0,10159,23439015936
24019746,0,5836,23439261696
24019747,0,12536,23439785984
24019748,0,9279,23440179200
24019749,0,7275,23440474112
24019750,0,7209,23440785408
24019751,0,7935,23441129472
24019752,0,6849,23441408000
24019753,0,7660,23441752064
24019754,0,11473,23442276352
24019755,0,5302,23442538496
24019756,0,5071,23442898944
24019757,0,28183,23444094976
24019758,0,11010,23444619264
24019759,0,7926,23444930560
24019760,0,9684,23445356544
24019761,0,8740,23445716992
24019762,0,10158,23446142976
24019763,0,4297,23446323200
24019764,0,6735,23446601728
24019765,0,10568,23447076864
24019766,0,9230,23447470080
24019767,0,12566,23448010752
24019768,0,9982,23448420352
24019769,0,6015,23448682496
24019770,0,7886,23449010176
24019771,0,7208,23449288704
24019772,0,5936,23449550848
24019773,0,5155,23449780224
24019774,0,10898,23450255360
24019775,0,8757,23450615808
24019776,0,7468,23450943488
24019777,0,6403,23451205632
24019778,0,10905,23451664384
24019779,0,7328,23452008448
24019780,0,10194,23452450816
24019781,0,10712,23452909568
24019782,0,8875,23453302784
24019783,0,11240,23452712960
24019784,0,7387,23453024256
24019785,0,8995,23453417472
24019786,0,8300,23453761536
24019787,0,6306,23454040064
24019788,0,13380,23454597120
24019789,0,7697,23454957568
24019790,0,10337,23455416320
24019791,0,6691,23455776768
24019792,0,8428,23456137216
24019793,0,8176,23456497664
24019794,0,10823,23456972800
24019795,0,8760,23457333248
24019796,0,7860,23457644544
24019797,0,11126,23458103296
24019798,0,7979,23458414592
24019799,0,7247,23458758656
24019800,0,7883,23459102720
24019801,0,7049,23459397632
24019802,0,14629,23459987456
24019803,0,4920,23460167680
24019804,0,13517,23460724736
24019805,0,13043,23461281792
24019806,0,2789,23461396480
24019807,0,3640,23461576704
24019808,0,20249,23462412288
24019809,0,5620,23462674432
24019810,0,6692,23462936576
24019811,0,16914,23463608320
24019812,0,15045,23464214528
24019813,0,6385,23464493056
24019814,0,8203,23464853504
24019815,0,10449,23465263104
24019816,0,5834,23465508864
24019817,0,10320,23465967616
24019818,0,3573,23466131456
24019819,0,18156,23466901504
24019820,0,5811,23467163648
24019821,0,4430,23467343872
24019822,0,16073,23468048384
24019823,0,11152,23468523520
24019824,0,4904,23468720128
