access_count,num_keys
1,12527411
2,9820553
3,3223301
4,2966460
5,982271
6,877673
7,316529
8,625287
9,637438
10,321173
11,94922
12,255235
13,140227
14,172267
15,68507
16,143060
17,55918
18,156000
19,37802
20,87590
21,38120
22,76228
23,27644
24,66940
25,25556
26,47430
27,38725
28,47689
29,16026
30,40956
31,17388
32,35381
33,16587
34,28449
35,13516
36,37838
37,11809
38,22161
39,12440
40,27129
41,9250
42,21434
43,8204
44,21336
45,13836
46,15845
47,6255
48,18841
49,8600
50,14192
51,7043
52,14445
53,6474
54,16207
55,6169
56,12761
57,6561
58,11383
59,4279
60,12498
61,5386
62,9379
63,6191
64,10481
65,5144
66,9685
67,4904
68,8345
69,4812
70,9201
71,3346
72,9718
73,4871
74,7023
75,3643
76,8300
77,3802
78,7371
79,2917
80,7495
81,4581
82,6253
83,2385
84,7196
85,3315
86,5669
87,2754
88,5656
89,2617
90,6286
91,2512
92,5305
93,2642
94,5160
95,2217
96,5269
97,2720
98,4557
99,2501
100,4517
101,2258
102,4447
103,1984
104,4096
105,2420
106,3764
107,1813
108,4235
109,2047
110,3595
111,1768
112,3948
113,1684
114,3797
115,1639
116,3390
117,1974
118,3048
119,1570
120,3553
121,1824
122,2817
123,1325
124,3307
125,1550
126,4797
127,1501
128,3994
129,1751
130,3082
131,1259
132,2939
133,1553
134,2476
135,1656
136,2869
137,1433
138,2543
139,1184
140,2812
141,1367
142,2431
143,969
144,2713
145,1379
146,2415
147,1127
148,2549
149,1222
150,2425
151,1050
152,2098
153,1273
154,2105
155,871
156,2638
157,1151
158,1840
159,1007
160,2415
161,1161
162,2272
163,935
164,1912
165,1229
166,1963
167,944
168,2348
169,1111
170,1760
171,873
172,1794
173,954
174,1743
175,962
176,1836
177,927
178,1619
179,656
180,1974
181,904
182,1475
183,719
184,1635
185,863
186,1534
187,672
188,1401
189,933
190,1532
191,557
192,2308
193,784
194,1364
195,736
196,1384
197,689
198,1469
199,554
200,1365
201,753
202,1267
203,553
204,1280
205,824
206,1145
207,639
208,1248
209,664
210,1297
211,549
212,1102
213,597
214,1095
215,577
216,1132
217,582
218,963
219,519
220,1238
221,621
222,1035
223,523
224,1041
225,653
226,1066
227,475
228,1111
229,857
230,905
231,494
232,1069
233,512
234,988
235,512
236,856
237,554
238,977
239,434
240,1031
241,592
242,902
243,552
244,911
245,580
246,894
247,544
248,867
249,558
250,818
251,560
252,919
253,492
254,786
255,451
256,883
257,491
258,800
259,424
260,808
261,529
262,696
263,374
264,778
265,535
266,817
267,419
268,763
269,469
270,746
271,456
272,732
273,565
274,693
275,394
276,807
277,522
278,639
279,396
280,776
281,460
282,707
283,383
284,634
285,516
286,616
287,284
288,731
289,500
290,615
291,378
292,652
293,455
294,759
295,409
296,792
297,469
298,731
299,347
300,723
301,417
302,540
303,335
304,598
305,365
306,610
307,335
308,642
309,413
310,580
311,292
312,586
313,409
314,526
315,314
316,525
317,380
318,540
319,289
320,521
321,431
322,520
323,315
324,543
325,391
326,539
327,344
328,603
329,458
330,694
331,375
332,704
333,409
334,535
335,297
336,730
337,428
338,501
339,363
340,534
341,292
342,545
343,290
344,453
345,373
346,462
347,268
348,514
349,320
350,463
351,257
352,519
353,346
354,453
355,264
356,400
357,360
358,398
359,241
360,462
361,291
362,405
363,232
364,455
365,304
366,459
367,248
368,394
369,310
370,406
371,214
372,500
373,301
374,372
375,240
376,392
377,297
378,413
379,213
380,388
381,299
382,352
383,181
384,431
385,269
386,327
387,233
388,412
389,220
390,387
391,223
392,390
393,280
394,375
395,226
396,410
397,241
398,353
399,213
400,409
401,271
402,342
403,199
404,319
405,262
406,383
407,172
408,333
409,230
410,355
411,180
412,305
413,202
414,374
415,158
416,351
417,225
418,309
419,158
420,337
421,202
422,274
423,168
424,309
425,218
426,339
427,165
428,263
429,201
430,314
431,218
432,298
433,193
434,264
435,186
436,310
437,270
438,324
439,141
440,331
441,202
442,264
443,135
444,309
445,205
446,259
447,163
448,298
449,175
450,358
451,136
452,295
453,201
454,269
455,180
456,311
457,174
458,271
459,151
460,282
461,383
462,271
463,128
464,318
465,215
466,238
467,137
468,287
469,171
470,236
471,140
472,259
473,158
474,263
475,198
476,199
477,161
478,221
479,133
480,302
481,141
482,274
483,160
484,309
485,165
486,283
487,121
488,239
489,187
490,278
491,142
492,279
493,121
494,367
495,163
496,262
497,152
498,230
499,142
500,453
501,179
502,197
503,141
504,461
505,107
506,285
507,124
508,389
509,169
510,219
511,154
512,1036
513,160
514,221
515,172
516,311
517,150
518,217
519,119
520,298
521,129
522,189
523,95
524,284
525,147
526,180
527,93
528,223
529,125
530,194
531,105
532,199
533,131
534,197
535,137
536,195
537,150
538,197
539,113
540,314
541,93
542,197
543,131
544,234
545,111
546,162
547,102
548,264
549,147
550,168
551,132
552,200
553,137
554,169
555,118
556,189
557,102
558,196
559,89
560,211
561,109
562,213
563,122
564,173
565,114
566,188
567,114
568,189
569,86
570,189
571,65
572,189
573,121
574,156
575,107
576,189
577,94
578,172
579,111
580,204
581,108
582,189
583,106
584,166
585,111
586,171
587,88
588,216
589,122
590,193
591,101
592,209
593,92
594,173
595,97
596,158
597,110
598,190
599,103
600,203
601,96
602,150
603,114
604,169
605,136
606,161
607,84
608,167
609,102
610,160
611,86
612,187
613,83
614,153
615,92
616,176
617,86
618,141
619,88
620,127
621,87
622,147
623,88
624,165
625,78
626,122
627,81
628,177
629,80
630,180
631,71
632,137
633,82
634,124
635,92
636,163
637,76
638,146
639,94
640,161
641,87
642,158
643,78
644,135
645,106
646,123
647,86
648,155
649,90
650,185
651,92
652,209
653,115
654,200
655,97
656,150
657,112
658,196
659,80
660,187
661,78
662,176
663,93
664,146
665,90
666,180
667,90
668,170
669,102
670,175
671,60
672,140
673,73
674,226
675,81
676,135
677,62
678,129
679,87
680,158
681,116
682,106
683,76
684,140
685,79
686,123
687,67
688,174
689,91
690,154
691,62
692,197
693,77
694,126
695,64
696,140
697,65
698,102
699,61
700,132
701,66
702,140
703,70
704,158
705,73
706,109
707,73
708,124
709,70
710,116
711,71
712,90
713,63
714,116
715,80
716,115
717,71
718,96
719,47
720,141
721,55
722,102
723,83
724,120
725,59
726,100
727,57
728,102
729,77
730,121
731,52
732,115
733,62
734,122
735,70
736,120
737,56
738,209
739,79
740,116
741,140
742,90
743,63
744,134
745,74
746,112
747,64
748,121
749,58
750,112
751,51
752,154
753,60
754,82
755,63
756,117
757,55
758,100
759,66
760,101
761,42
762,99
763,66
764,98
765,77
766,118
767,60
768,123
769,71
770,127
771,109
772,129
773,66
774,108
775,92
776,131
777,107
778,123
779,93
780,153
781,145
782,121
783,95
784,100
785,89
786,114
787,60
788,123
789,116
790,130
791,106
792,150
793,149
794,138
795,64
796,79
797,49
798,94
799,45
800,80
801,63
802,81
803,72
804,102
805,57
806,105
807,56
808,67
809,46
810,109
811,47
812,68
813,85
814,82
815,46
816,85
817,41
818,65
819,92
820,74
821,47
822,129
823,40
824,76
825,56
826,82
827,55
828,96
829,46
830,57
831,55
832,79
833,51
834,81
835,56
836,78
837,43
838,84
839,47
840,102
841,46
842,74
843,52
844,68
845,47
846,86
847,37
848,77
849,59
850,81
851,49
852,83
853,52
854,78
855,66
856,80
857,50
858,75
859,38
860,70
861,49
862,75
863,50
864,76
865,41
866,64
867,50
868,70
869,46
870,71
871,51
872,73
873,42
874,104
875,44
876,91
877,42
878,91
879,65
880,61
881,40
882,95
883,47
884,87
885,65
886,75
887,45
888,73
889,48
890,66
891,43
892,77
893,30
894,83
895,37
896,62
897,56
898,205
899,41
900,94
901,45
902,59
903,50
904,76
905,37
906,73
907,42
908,62
909,47
910,69
911,34
912,83
913,42
914,58
915,27
916,79
917,42
918,60
919,51
920,70
921,43
922,82
923,51
924,59
925,37
926,51
927,54
928,85
929,42
930,63
931,37
932,56
933,46
934,68
935,34
936,75
937,39
938,59
939,40
940,66
941,31
942,60
943,33
944,59
945,43
946,64
947,39
948,73
949,40
950,61
951,35
952,50
953,33
954,59
955,46
956,49
957,29
958,61
959,35
960,57
961,36
962,54
963,41
964,41
965,37
966,54
967,24
968,48
969,27
970,57
971,37
972,71
973,41
974,39
975,29
976,64
977,25
978,55
979,29
980,59
981,35
982,49
983,26
984,67
985,32
986,69
987,69
988,84
989,33
990,65
991,35
992,93
993,58
994,43
995,39
996,61
997,29
998,47
999,30
1000,42
1001,38
1002,374
1003,30
1004,275
1005,40
1006,50
1007,36
1008,70
1009,30
1010,58
1011,43
1012,60
1013,31
1014,50
1015,21
1016,47
1017,34
1018,56
1019,28
1020,60
1021,38
1022,46
1023,36
1024,52
1025,29
1026,47
1027,30
1028,43
1029,26
1030,45
1031,30
1032,53
1033,25
1034,31
1035,27
1036,54
1037,31
1038,51
1039,31
1040,53
1041,43
1042,48
1043,28
1044,59
1045,31
1046,40
1047,30
1048,48
1049,30
1050,63
1051,22
1052,61
1053,32
1054,38
1055,34
1056,44
1057,31
1058,58
1059,44
1060,45
1061,25
1062,53
1063,28
1064,37
1065,42
1066,50
1067,37
1068,51
1069,31
1070,38
1071,33
1072,50
1073,26
1074,52
1075,25
1076,46
1077,25
1078,38
1079,30
1080,74
1081,37
1082,45
1083,38
1084,56
1085,28
1086,51
1087,36
1088,38
1089,33
1090,35
1091,27
1092,48
1093,21
1094,38
1095,34
1096,41
1097,28
1098,46
1099,29
1100,49
1101,51
1102,53
1103,28
1104,55
1105,28
1106,47
1107,32
1108,40
1109,21
1110,47
1111,20
1112,38
1113,28
1114,38
1115,30
1116,41
1117,26
1118,30
1119,32
1120,55
1121,24
1122,40
1123,31
1124,56
1125,36
1126,41
1127,22
1128,46
1129,29
1130,50
1131,25
1132,46
1133,24
1134,33
1135,34
1136,46
1137,28
1138,38
1139,33
1140,48
1141,29
1142,39
1143,33
1144,45
1145,17
1146,35
1147,27
1148,39
1149,34
1150,37
1151,21
1152,50
1153,17
1154,34
1155,35
1156,44
1157,26
1158,35
1159,29
1160,39
1161,26
1162,35
1163,35
1164,51
1165,26
1166,40
1167,21
1168,39
1169,20
1170,31
1171,30
1172,38
1173,17
1174,36
1175,30
1176,52
1177,38
1178,38
1179,34
1180,56
1181,29
1182,44
1183,24
1184,33
1185,27
1186,34
1187,24
1188,46
1189,25
1190,30
1191,19
1192,34
1193,15
1194,72
1195,20
1196,45
1197,21
1198,41
1199,29
1200,39
1201,23
1202,45
1203,20
1204,36
1205,20
1206,29
1207,23
1208,42
1209,22
1210,40
1211,24
1212,31
1213,16
1214,34
1215,20
1216,31
1217,20
1218,37
1219,23
1220,34
1221,28
1222,36
1223,15
1224,62
1225,28
1226,41
1227,25
1228,32
1229,18
1230,27
1231,21
1232,35
1233,23
1234,35
1235,21
1236,33
1237,15
1238,32
1239,17
1240,33
1241,41
1242,28
1243,11
1244,24
1245,29
1246,33
1247,21
1248,39
1249,16
1250,40
1251,22
1252,31
1253,26
1254,37
1255,14
1256,43
1257,25
1258,38
1259,15
1260,27
1261,26
1262,32
