access_count,num_keys
1,69264600
2,63445255
3,21167834
4,18697997
5,9748663
6,5738025
7,2369795
8,1939679
9,1175396
10,1442885
11,566843
12,937516
13,226544
14,488617
15,378868
16,324193
17,145151
18,244778
19,69893
20,203751
21,142116
22,119628
23,59500
24,105293
25,58319
26,67015
27,48326
28,76381
29,30418
30,77232
31,21107
32,44591
33,25581
34,28400
35,37925
36,39319
37,18691
38,19299
39,22414
40,36191
41,14038
42,25792
43,12784
44,23839
45,24696
46,13435
47,12167
48,20682
49,14025
50,21399
51,12876
52,15689
53,9064
54,11491
55,12026
56,14959
57,9539
58,9574
59,7886
60,19938
61,7342
62,10003
63,10138
64,11246
65,9255
66,9834
67,7339
68,8945
69,6775
70,11609
71,6745
72,9487
73,6356
74,7155
75,8921
76,7534
77,7767
78,7716
79,6190
80,10322
81,6327
82,6957
83,6023
84,8211
85,6976
86,6252
87,6200
88,9009
89,6111
90,8123
91,6614
92,7397
93,6523
94,6082
95,7130
96,6761
97,5567
98,6357
99,5595
100,10792
101,5589
102,5743
103,4988
104,5597
105,6318
106,5367
107,4643
108,5501
109,4353
110,7128
111,4509
112,5010
113,4201
114,4662
115,4627
116,5275
117,4085
118,4392
119,4053
120,9441
121,3884
122,4057
123,3844
124,4302
125,3992
126,4157
127,3477
128,4365
129,3957
130,4165
131,3301
132,3788
133,3318
134,3508
135,3643
136,3480
137,3072
138,3513
139,2920
140,3840
141,3061
142,3001
143,2804
144,3461
145,3494
146,2847
147,3124
148,2882
149,2741
150,3930
151,2554
152,3120
153,2398
154,3326
155,2455
156,2550
157,2249
158,2521
159,2315
160,6604
161,2121
162,2466
163,2135
164,2345
165,2190
166,2244
167,2054
168,2258
169,1871
170,2393
171,1867
172,2065
173,1659
174,2079
175,1983
176,2381
177,1679
178,1905
179,1583
180,2401
181,1601
182,2005
183,1667
184,1804
185,1573
186,2000
187,1497
188,1685
189,1450
190,2207
191,1413
192,1673
193,1331
194,1574
195,1480
196,1693
197,1339
198,1571
199,1366
200,5086
201,2493
202,1546
203,1391
204,1382
205,1395
206,1247
207,1235
208,1351
209,1112
210,1453
211,1089
212,1209
213,1048
214,1132
215,1133
216,1264
217,922
218,1120
219,1020
220,1590
221,906
222,1025
223,989
224,1113
225,1085
226,941
227,892
228,961
229,924
230,1002
231,854
232,840
233,793
234,858
235,921
236,901
237,768
238,884
239,768
240,2386
241,797
242,803
243,852
244,804
245,896
246,854
247,704
248,848
249,746
250,1067
251,673
252,883
253,667
254,770
255,714
256,1315
257,679
258,1092
259,624
260,1243
261,618
262,752
263,528
264,776
265,630
266,741
267,647
268,685
269,548
270,866
271,536
272,637
273,663
274,592
275,679
276,655
277,510
278,583
279,610
280,1370
281,484
282,658
283,417
284,546
285,726
286,512
287,420
288,550
289,454
290,741
291,445
292,463
293,416
294,645
295,548
296,460
297,470
298,480
299,421
300,3055
301,533
302,555
303,587
304,490
305,521
306,464
307,333
308,535
309,391
310,635
311,347
312,434
313,373
314,396
315,555
316,379
317,368
318,408
319,333
320,1582
321,343
322,379
323,328
324,406
325,450
326,361
327,381
328,310
329,278
330,534
331,302
332,347
333,338
334,360
335,426
336,390
337,323
338,275
339,301
340,526
341,289
342,281
343,345
344,335
345,367
346,352
347,335
348,335
349,310
350,459
351,260
352,514
353,239
354,245
355,400
356,347
357,246
358,258
359,278
360,4653
361,281
362,234
363,224
364,358
365,318
366,302
367,223
368,214
369,238
370,369
371,225
372,322
373,213
374,233
375,289
376,254
377,186
378,304
379,228
380,407
381,214
382,209
383,220
384,216
385,285
386,234
387,199
388,226
389,192
390,322
391,216
392,281
393,197
394,261
395,302
396,243
397,177
398,270
399,199
400,2894
401,339
402,323
403,304
404,370
405,223
