blocks_appeared,num_keys
1,25382837
2,5113163
3,1218961
4,779236
5,386151
6,314178
7,191727
8,172774
9,115974
10,112247
11,79409
12,76149
13,58997
14,61221
15,47278
16,46827
17,39168
18,37230
19,31308
20,29307
21,25777
22,26913
23,24332
24,23297
25,19423
26,18393
27,16830
28,16504
29,14838
30,14163
31,13259
32,12954
33,11693
34,11704
35,10811
36,11038
37,10076
38,10717
39,9746
40,9439
41,8766
42,8941
43,8083
44,7821
45,7246
46,7139
47,6682
48,7128
49,5831
50,5957
51,5732
52,5583
53,5508
54,5232
55,4971
56,4985
57,4656
58,4728
59,4513
60,4340
61,4377
62,4279
63,4204
64,4026
65,3981
66,3779
67,3659
68,3466
69,3642
70,3355
71,3353
72,3296
73,3304
74,3326
75,3044
76,3007
77,2869
78,2958
79,3328
80,3139
81,2825
82,2739
83,2612
84,2748
85,2524
86,2567
87,2474
88,2530
89,2447
90,2373
91,2450
92,2289
93,2038
94,2146
95,2890
96,2079
97,1929
98,2066
99,1833
100,1933
101,1937
102,1846
103,1683
104,1720
105,1601
106,1664
107,1634
108,1470
109,1399
110,1625
111,1383
112,1425
113,1481
114,1588
115,1305
116,1532
117,1343
118,1365
119,1292
120,1248
121,1273
122,1131
123,1213
124,1153
125,1139
126,1645
127,1564
128,3004
129,1263
130,1246
131,1026
132,1081
133,995
134,895
135,1093
136,1018
137,1303
138,940
139,897
140,1218
141,865
142,878
143,796
144,797
145,743
146,757
147,809
148,860
149,808
150,830
151,701
152,723
153,688
154,679
155,705
156,655
157,727
158,723
159,633
160,708
161,626
162,735
163,695
164,644
165,643
166,929
167,835
168,1351
169,796
170,856
171,817
172,600
173,511
174,653
175,629
176,557
177,582
178,624
179,485
180,474
181,569
182,530
183,492
184,454
185,518
186,475
187,471
188,515
189,477
190,464
191,435
192,409
193,447
194,439
195,430
196,467
197,468
198,467
199,439
200,509
201,389
202,406
203,480
204,359
205,454
206,421
207,389
208,334
209,379
210,347
211,387
212,358
213,363
214,398
215,341
216,445
217,419
218,336
219,317
220,367
221,267
222,330
223,300
224,321
225,352
226,370
227,319
228,327
229,471
230,321
231,343
232,376
233,271
234,319
235,344
236,260
237,277
238,424
239,236
240,354
241,322
242,319
243,273
244,247
245,339
246,336
247,307
248,280
249,248
250,268
251,243
252,279
253,281
254,262
255,279
256,264
257,221
258,214
259,233
260,217
261,291
262,208
263,205
264,219
265,198
266,235
267,241
268,205
269,223
270,209
271,334
272,211
273,256
274,213
275,307
276,348
277,277
278,189
279,210
280,184
281,208
282,201
283,297
284,220
285,262
286,221
287,193
288,236
289,257
290,266
291,240
292,238
293,245
294,214
295,306
296,254
297,275
298,223
299,267
300,290
301,245
302,198
303,263
304,232
305,162
306,174
307,159
308,252
309,160
310,149
311,227
312,200
313,173
314,183
315,178
316,191
317,210
318,209
319,165
320,156
321,171
322,201
323,151
324,183
325,164
326,289
327,237
328,358
329,476
330,465
331,237
332,158
333,221
334,257
335,210
336,163
337,182
338,208
339,184
340,158
341,178
342,127
343,160
344,159
345,171
346,194
347,206
348,186
349,131
350,159
351,172
352,146
353,136
354,179
355,142
356,115
357,136
358,130
359,107
360,130
361,138
362,131
363,113
364,146
365,112
366,113
367,156
368,155
369,140
370,91
371,132
372,105
373,112
374,111
375,93
376,144
377,130
378,86
379,119
380,95
381,123
382,136
383,150
384,107
385,126
386,116
387,87
388,150
389,123
390,91
391,118
392,114
393,118
394,121
395,109
396,121
397,184
398,90
399,99
400,104
401,104
402,124
403,102
404,88
405,114
406,115
407,111
408,245
409,139
410,95
411,137
412,99
413,304
414,187
415,222
416,79
417,100
418,93
419,98
420,117
421,67
422,55
423,84
424,88
425,75
426,101
427,73
428,82
429,87
430,77
431,79
432,71
433,119
434,78
435,89
436,123
437,231
438,172
439,83
440,91
441,123
442,107
443,95
444,64
445,91
446,79
447,96
448,65
449,66
450,84
451,115
452,110
453,112
454,113
455,76
456,110
457,84
458,74
459,72
460,83
461,78
462,72
463,90
464,111
465,58
466,59
467,78
468,72
469,69
470,54
471,99
472,60
473,43
474,69
475,81
476,51
477,62
478,62
479,51
480,59
481,71
482,74
483,73
484,79
485,52
486,83
487,80
488,57
489,59
490,86
491,69
492,71
493,39
494,62
495,53
496,66
497,63
498,80
499,77
500,96
501,106
502,69
503,66
504,55
505,95
506,60
507,63
508,56
509,61
510,37
511,56
512,46
513,61
514,44
515,73
516,62
517,45
518,57
519,57
520,48
521,47
522,52
523,50
524,52
525,76
526,40
527,27
528,72
529,48
530,52
531,74
532,63
533,48
534,50
535,33
536,51
537,68
538,42
539,44
540,30
541,38
542,77
543,58
544,37
545,56
546,69
547,52
548,45
549,72
550,26
551,66
552,46
553,40
554,60
555,29
556,37
557,54
558,44
559,68
560,64
561,30
562,72
563,64
564,76
565,49
566,54
567,64
568,42
569,46
570,41
571,38
572,40
573,29
574,29
575,34
576,72
577,63
578,63
579,52
580,63
581,136
582,39
583,50
584,45
585,53
586,45
587,65
588,43
589,60
590,51
591,75
592,52
593,41
594,46
595,67
596,60
597,46
598,48
599,29
600,59
601,45
602,32
603,39
604,33
605,65
606,53
607,56
608,40
609,81
610,32
611,60
612,62
613,62
614,46
615,59
616,71
617,81
618,27
619,43
620,21
621,51
622,48
623,60
624,44
625,44
626,29
627,32
628,51
629,33
630,36
631,53
632,58
633,55
634,52
635,55
636,43
637,46
638,68
639,38
640,42
641,55
642,49
643,46
644,43
645,36
646,39
647,36
648,43
649,49
650,30
651,41
652,69
653,26
654,51
655,35
656,37
657,49
658,36
659,38
660,46
661,14
662,26
663,19
664,47
665,56
666,42
667,50
668,43
669,61
670,52
671,39
672,43
673,32
674,58
675,35
676,43
677,32
678,30
679,39
680,43
681,47
682,18
683,28
684,27
685,36
686,87
687,64
688,36
689,44
690,43
691,30
692,33
693,53
694,35
695,37
696,45
697,67
698,50
699,54
700,28
701,49
702,62
703,42
704,49
705,36
706,44
707,34
708,49
709,19
710,21
711,45
712,47
713,33
714,34
715,60
716,65
717,43
718,42
719,20
720,23
721,31
722,35
723,63
724,79
725,31
726,45
727,53
728,73
729,42
730,49
731,25
732,48
733,40
734,34
735,85
736,25
737,55
738,179
739,149
740,50
741,58
742,62
743,44
744,54
745,68
746,56
747,34
748,26
749,29
750,33
751,34
752,27
753,36
754,22
755,39
756,45
757,43
758,41
759,36
760,72
761,92
762,44
763,24
764,61
765,62
766,68
767,63
768,67
769,56
770,42
771,101
772,62
773,79
774,50
775,55
776,73
777,72
778,71
779,83
780,94
781,88
782,47
783,66
784,29
785,24
786,24
787,26
788,43
789,53
790,41
791,19
792,21
793,27
794,35
795,21
796,43
797,16
798,31
799,27
800,30
801,22
802,25
803,22
804,35
805,26
806,29
807,29
808,28
809,44
810,28
811,31
812,40
813,87
814,48
815,24
816,35
817,18
818,25
819,22
820,20
821,30
822,17
823,36
824,31
825,14
826,11
827,34
828,25
829,17
830,31
831,24
832,28
833,37
834,26
835,39
836,22
837,35
838,30
839,19
840,32
841,25
842,26
843,42
844,31
845,35
846,20
847,29
848,54
849,45
850,35
851,22
852,35
853,37
854,30
855,25
856,25
857,13
858,15
859,23
860,14
861,40
862,38
863,30
864,17
865,21
866,28
867,13
868,13
869,19
870,13
871,48
872,15
873,33
874,45
875,29
876,23
877,29
878,29
879,16
880,14
881,25
882,28
883,49
884,30
885,19
886,27
887,28
888,47
889,27
890,33
891,37
892,21
893,189
894,15
895,15
896,28
897,13
898,19
899,21
900,24
901,11
902,27
903,26
904,27
905,17
906,23
907,29
908,35
909,25
910,24
911,14
912,23
913,16
914,13
915,15
916,18
917,22
918,39
919,7
920,26
921,25
922,14
923,21
924,29
925,26
926,18
927,15
928,30
929,14
930,14
931,12
932,18
933,12
934,17
935,14
936,24
937,37
938,25
939,16
940,21
941,15
942,23
943,22
944,19
945,16
946,10
947,13
948,30
949,36
950,15
951,26
952,31
953,13
954,28
955,19
956,27
957,12
958,12
959,14
960,13
961,15
962,21
963,18
964,23
965,11
966,15
967,21
968,30
969,22
970,14
971,10
972,7
973,7
974,7
975,47
976,16
977,8
978,14
979,16
980,22
981,13
982,8
983,55
984,14
985,8
986,15
987,17
988,23
989,23
990,16
991,18
992,27
993,24
994,27
995,40
996,29
997,11
998,10
999,32
1000,18
1001,13
1002,17
1003,9
1004,16
1005,22
1006,29
1007,37
1008,11
1009,18
1010,9
1011,15
1012,12
1013,7
1014,17
1015,17
1016,15
1017,20
1018,8
1019,9
1020,8
1021,23
1022,18
1023,7
1024,16
1025,15
1026,14
1027,38
1028,19
1029,23
1030,16
1031,28
1032,13
1033,15
1034,30
1035,17
1036,11
1037,23
1038,20
1039,12
1040,25
1041,27
1042,11
1043,23
1044,15
1045,18
1046,20
1047,15
1048,38
1049,34
1050,16
1051,7
1052,8
1053,19
1054,28
1055,7
1056,9
1057,11
1058,3
1059,13
1060,14
1061,15
1062,18
1063,19
1064,16
1065,17
1066,20
1067,6
1068,9
1069,10
1070,11
1071,25
1072,16
1073,16
1074,17
1075,24
1076,21
1077,14
1078,25
1079,13
1080,8
1081,10
1082,25
1083,18
1084,27
1085,17
1086,13
1087,40
1088,20
1089,15
1090,15
1091,11
1092,17
1093,21
1094,19
1095,12
1096,7
1097,10
1098,20
1099,12
1100,30
1101,9
1102,11
1103,10
1104,18
1105,18
1106,7
1107,4
1108,11
1109,24
1110,13
1111,14
1112,15
1113,18
1114,39
1115,17
1116,42
1117,10
1118,12
1119,17
1120,7
1121,14
1122,8
1123,19
1124,12
1125,18
1126,39
1127,22
1128,10
1129,25
1130,17
1131,21
1132,16
1133,33
1134,24
1135,17
1136,21
1137,9
1138,16
1139,25
1140,16
1141,7
1142,19
1143,7
1144,13
1145,35
1146,13
1147,16
1148,6
1149,11
1150,15
1151,8
1152,16
1153,24
1154,10
1155,7
1156,4
1157,7
1158,7
1159,24
1160,33
1161,9
1162,10
1163,9
1164,1
1165,5
1166,5
1167,7
1168,5
1169,9
1170,19
1171,16
1172,4
1173,7
1174,17
1175,17
1176,9
1177,33
1178,13
1179,21
1180,13
1181,13
1182,12
1183,2
1184,24
1185,6
1186,13
1187,24
1188,23
1189,3
1190,8
1191,15
1192,9
1193,5
1194,10
1195,25
1196,20
1197,9
1198,5
1199,8
1200,12
1201,9
1202,4
1203,18
1204,15
1205,14
1206,10
1207,8
1208,9
1209,6
