block_number,wait_time_us,execution_time_us,rss_bytes
24019447,0,24914,11742511104
24019448,0,25785,11732025344
24019449,0,12984,11745427456
24019450,0,11446,11756830720
24019451,0,7774,11748737024
24019452,0,7023,11754881024
24019453,0,20079,11766235136
24019454,0,8816,11778375680
24019455,0,11584,11789664256
24019456,0,3458,11782602752
24019457,0,18095,11794219008
24019458,0,7872,11806310400
24019459,0,10652,11815026688
24019460,0,23195,11811618816
24019461,0,7083,11819532288
24019462,0,11779,11827134464
24019463,0,12701,11834982400
24019464,0,12476,11841961984
24019465,0,8872,11850334208
24019466,0,9729,11864375296
24019467,0,9811,11869372416
24019468,0,9128,11881119744
24019469,0,16637,11888738304
24019470,0,4958,11894374400
24019471,0,12688,11903811584
24019472,0,10522,11895455744
24019473,0,2991,11902255104
24019474,0,12790,11909545984
24019475,0,7057,11921031168
24019476,0,11347,11931303936
24019477,0,9418,11939069952
24019478,0,20951,11938611200
24019479,0,12616,11950456832
24019480,0,9470,11960418304
24019481,0,10241,11969413120
24019482,0,10535,11979915264
24019483,0,11896,11987845120
24019484,0,11227,12000198656
24019485,0,12302,12009390080
24019486,0,14391,12014796800
24019487,0,11254,12029050880
24019488,0,29062,12047728640
24019489,0,9990,12055298048
24019490,0,9139,12063424512
24019491,0,9109,12073910272
24019492,0,24220,12065751040
24019493,0,4283,12072697856
24019494,0,16479,12085149696
24019495,0,8329,12097830912
24019496,0,5015,12105121792
24019497,0,7184,12109578240
24019498,0,13732,12096520192
24019499,0,10080,12110708736
24019500,0,12935,12122161152
24019501,0,14720,12136464384
24019502,0,7036,12135186432
24019503,0,7747,12152455168
24019504,0,13985,12163022848
24019505,0,14583,12172787712
24019506,0,7579,12177145856
24019507,0,11234,12166397952
24019508,0,9152,12174671872
24019509,0,9654,12182601728
24019510,0,8351,12190695424
24019511,0,9150,12198477824
24019512,0,10180,12205785088
24019513,0,8986,12212895744
24019514,0,24620,12211486720
24019515,0,8875,12218793984
24019516,0,7486,12224970752
24019517,0,2568,12230344704
24019518,0,11257,12236341248
24019519,0,4847,12243763200
24019520,0,1696,12248924160
24019521,0,11491,12257886208
24019522,0,18003,12261654528
24019523,0,11209,12266864640
24019524,0,8628,12269977600
