block_number,storage_keys,bytecode_addresses,account_addresses,source_plain_state,source_not_yet_written,source_in_changeset
24019447,2069,660,533,1134,85,850
24019448,1705,509,561,826,86,793
24019449,2299,579,566,990,112,1197
24019450,2240,455,551,1126,102,1012
24019451,1708,397,397,792,79,837
24019452,502,111,266,131,15,356
24019453,3269,919,888,1408,157,1704
24019454,1938,399,418,881,83,974
24019455,1953,581,590,942,94,917
24019456,1392,268,234,679,57,656
24019457,3089,714,859,1513,112,1464
24019458,1991,583,452,931,136,924
24019459,2058,598,549,971,105,982
24019460,2055,563,591,889,113,1053
24019461,1335,303,363,598,46,691
24019462,2110,481,559,896,105,1109
24019463,1687,411,564,732,88,867
24019464,2468,712,680,1167,256,1045
24019465,2585,420,471,1438,87,1060
24019466,2023,449,511,916,72,1035
24019467,2001,538,474,916,73,1012
24019468,1368,414,472,650,84,634
24019469,1944,556,797,765,144,1035
24019470,1190,325,306,619,55,516
24019471,3404,733,688,1791,137,1476
24019472,2479,595,611,1209,161,1109
24019473,286,107,141,152,15,119
24019474,3343,770,729,1810,132,1401
24019475,1458,504,398,748,53,657
24019476,1795,528,535,783,105,907
24019477,1595,484,501,717,88,790
24019478,2203,519,520,1065,122,1016
24019479,2106,644,668,1003,94,1009
24019480,1553,417,453,792,62,699
24019481,2040,611,548,1032,96,912
24019482,2559,574,551,1165,118,1276
24019483,1856,573,551,889,132,835
24019484,2960,726,551,1493,142,1325
24019485,1384,373,567,553,60,771
24019486,2506,848,824,1222,129,1155
24019487,1697,566,594,882,94,721
24019488,1709,479,605,725,67,917
24019489,3086,530,503,1750,139,1197
24019490,2286,611,482,1075,102,1109
24019491,1970,460,472,1004,88,878
24019492,1539,465,640,737,58,744
24019493,1110,296,293,738,23,349
24019494,3979,838,830,1945,236,1798
24019495,1730,468,460,884,67,779
24019496,635,143,225,318,36,281
24019497,556,172,274,207,45,304
24019498,4086,860,800,2196,165,1725
24019499,1627,503,471,743,69,815
24019500,2320,617,635,1081,105,1134
24019501,1985,479,579,830,146,1009
24019502,1257,386,364,575,96,586
24019503,1727,445,399,837,100,790
24019504,2127,573,691,1007,105,1015
24019505,2096,507,654,978,62,1056
24019506,1568,368,438,789,68,711
24019507,2311,511,553,1167,92,1052
24019508,2314,548,532,1200,112,1002
24019509,3609,654,562,2032,114,1463
24019510,1945,551,468,896,79,970
24019511,1816,481,470,788,87,941
24019512,1694,504,521,779,111,804
24019513,1102,327,403,487,75,540
24019514,2372,566,575,980,135,1257
24019515,1966,508,482,858,67,1041
24019516,2183,471,435,1002,62,1119
24019517,1166,185,125,461,16,689
24019518,3266,737,652,1525,88,1653
24019519,3382,503,312,1618,56,1708
24019520,2523,441,234,1108,23,1392
24019521,3956,828,704,1782,118,2056
24019522,2476,461,336,1138,42,1296
24019523,1389,307,406,631,63,695
24019524,3354,713,534,1659,106,1589
24019525,3773,897,852,1802,185,1786
24019526,1091,208,151,413,17,661
24019527,1785,427,362,878,27,880
24019528,2727,609,478,1245,152,1330
24019529,4374,923,979,2363,203,1808
24019530,2413,577,543,1169,113,1131
24019531,1924,409,362,855,51,1018
24019532,2072,565,380,1087,52,933
24019533,2883,630,689,1369,147,1367
24019534,2262,587,498,1051,128,1083
24019535,1679,425,475,742,126,811
24019536,1832,441,514,913,59,860
24019537,1646,465,381,844,75,727
24019538,1283,372,382,599,70,614
24019539,2669,619,625,1315,129,1225
24019540,483,122,142,233,29,221
24019541,3422,794,807,1689,186,1547
24019542,2322,593,600,1024,114,1184
24019543,518,199,215,255,29,234
24019544,3656,819,805,1833,171,1652
24019545,2712,548,520,1531,114,1067
24019546,765,179,159,360,27,378
24019547,971,258,298,424,58,489
24019548,4262,967,790,2091,138,2033
24019549,395,146,136,168,23,204
24019550,3162,801,855,1495,132,1535
24019551,3191,674,577,1537,84,1570
24019552,1769,372,453,717,67,985
24019553,2102,432,291,867,38,1197
24019554,985,261,244,417,68,500
24019555,3927,910,916,1931,171,1825
24019556,2512,645,643,1160,149,1203
24019557,2385,542,508,1239,75,1071
24019558,2238,586,564,1073,87,1078
24019559,1474,365,325,674,46,754
24019560,2035,571,552,983,108,944
24019561,1916,476,467,963,107,846
24019562,2416,599,609,1084,181,1151
24019563,1288,409,388,600,83,605
24019564,1845,533,569,877,104,864
24019565,2353,577,574,1091,80,1182
24019566,1274,351,407,553,77,644
24019567,689,229,282,346,50,293
24019568,542,141,193,260,28,254
24019569,4169,891,861,1897,221,2051
24019570,2986,651,603,1513,89,1384
24019571,1696,583,418,835,78,783
24019572,487,199,249,217,24,246
24019573,2991,745,748,1408,183,1400
24019574,2679,509,533,1544,105,1030
24019575,1563,366,411,773,83,707
24019576,1681,478,483,791,126,764
24019577,2470,543,551,1236,80,1154
24019578,2488,586,575,1134,102,1252
24019579,1766,498,398,824,90,852
24019580,1681,437,456,782,87,812
24019581,1713,414,504,749,123,841
24019582,2309,517,477,1093,134,1082
24019583,1343,399,420,702,69,572
24019584,2422,593,601,1142,117,1163
24019585,2032,554,581,957,111,964
24019586,975,268,325,471,99,405
24019587,2893,557,620,1328,113,1452
24019588,2094,528,537,982,119,993
24019589,1231,323,401,576,60,595
24019590,2050,528,525,923,76,1051
24019591,2860,650,643,1463,148,1249
24019592,2280,430,422,1260,65,955
24019593,1457,377,415,668,98,691
24019594,2151,554,568,1016,108,1027
24019595,3076,693,635,1728,144,1204
24019596,2136,410,426,1421,76,639
24019597,1951,486,556,975,81,895
24019598,1560,442,440,714,78,768
24019599,2085,546,512,1111,105,869
24019600,1167,311,367,566,69,532
24019601,2153,540,609,1114,106,933
24019602,2398,565,620,1067,118,1213
24019603,1592,434,579,670,77,845
24019604,2826,595,633,1355,87,1384
24019605,1598,412,420,769,107,722
24019606,1348,426,396,594,69,685
24019607,1006,209,177,422,16,568
24019608,3520,704,488,1721,128,1671
24019609,5025,1015,813,2663,133,2229
24019610,1140,212,154,447,13,680
24019611,982,271,399,484,43,455
24019612,3279,573,444,1493,141,1645
24019613,4951,952,715,2532,146,2273
24019614,3781,989,986,1685,143,1953
24019615,248,75,119,106,11,131
24019616,4344,900,913,2072,140,2132
24019617,2073,520,430,1155,55,863
24019618,3909,790,665,1996,108,1805
24019619,3544,728,670,1881,122,1541
24019620,2503,566,593,1129,140,1234
24019621,2520,606,524,1256,115,1149
24019622,1336,318,269,625,48,663
24019623,2214,870,1171,1001,115,1098
24019624,1687,449,468,835,86,766
24019625,2315,567,563,1132,86,1097
24019626,1381,362,441,710,52,619
24019627,2066,449,483,1176,104,786
24019628,2043,611,541,1057,162,824
24019629,2075,489,526,957,124,994
24019630,1245,307,343,444,240,561
24019631,1722,418,388,789,80,853
24019632,2826,639,557,1452,143,1231
24019633,2524,570,536,1277,137,1110
24019634,1773,444,506,813,70,890
24019635,1708,388,288,814,67,827
