block_number,execution_time_us,rss_bytes
24019447,3942407,176242688
24019448,2737462,272465920
24019449,2938287,369983488
24019450,2464018,448888832
24019451,1603282,500137984
24019452,688604,520699904
24019453,3219770,622575616
24019454,1622992,673906688
24019455,1767921,729300992
24019456,957214,759398400
24019457,2486187,835371008
24019458,1411171,879132672
24019459,1432914,923320320
24019460,1283478,962314240
24019461,708163,982564864
24019462,1620584,1031438336
24019463,984942,1060208640
24019464,1644040,1111261184
24019465,1148518,1144242176
24019466,998558,1173700608
24019467,1104141,1207271424
24019468,785696,1229930496
24019469,1195010,1264975872
24019470,641148,1283358720
24019471,1948285,1344192512
24019472,1424585,1385627648
24019473,198395,1391067136
24019474,1981986,1452457984
24019475,763902,1474985984
24019476,975682,1503035392
24019477,831197,1526792192
24019478,1078939,1559412736
24019479,1112018,1591787520
24019480,697090,1611792384
24019481,1145384,1646051328
24019482,1864146,1702182912
24019483,935540,1728659456
24019484,1695965,1780514816
24019485,664624,1798668288
24019486,1265326,1835646976
24019487,848794,1859895296
24019488,864843,1884372992
24019489,1175167,1919467520
24019490,985145,1947615232
24019491,664073,1966014464
24019492,682385,1984806912
24019493,748014,2007744512
24019494,1789721,2060353536
24019495,723548,2081062912
24019496,317997,2089713664
24019497,412543,2101772288
24019498,1940897,2160082944
24019499,777339,2182037504
24019500,969947,2209529856
24019501,853963,2233155584
24019502,546063,2248507392
24019503,701724,2267627520
24019504,931305,2294611968
24019505,992154,2322448384
24019506,543655,2337456128
24019507,994547,2365931520
24019508,819654,2388951040
24019509,909972,2413527040
24019510,752622,2434678784
24019511,678503,2453651456
24019512,661212,2471198720
24019513,596311,2487779328
24019514,997359,2515648512
24019515,701188,2534375424
24019516,654100,2551955456
24019517,386290,2562015232
24019518,1314412,2598780928
24019519,627121,2615066624
24019520,593492,2631417856
24019521,1627123,2679226368
24019522,736934,2698723328
24019523,595026,2714648576
24019524,1439359,2754789376
24019525,1352043,2791309312
24019526,158873,2795798528
24019527,516192,2808594432
24019528,949838,2833268736
24019529,1553596,2876096512
24019530,659560,2892988416
24019531,415165,2904113152
24019532,613238,2920923136
24019533,948388,2947923968
24019534,845386,2972647424
24019535,553464,2989047808
24019536,642079,3007086592
24019537,444629,3019014144
24019538,390615,3028811776
24019539,893239,3053469696
24019540,124719,3056680960
24019541,1089261,3085303808
24019542,667184,3102539776
24019543,183714,3107225600
24019544,1128090,3138617344
24019545,668197,3155640320
24019546,209758,3161227264
24019547,336120,3170385920
24019548,1210939,3202285568
24019549,156017,3206578176
24019550,1038421,3234021376
24019551,709389,3251798016
24019552,467827,3263823872
24019553,306836,3271213056
24019554,280557,3278766080
24019555,1270058,3312533504
24019556,954167,3339501568
24019557,800479,3362226176
24019558,1079201,3392503808
24019559,385984,3401547776
24019560,574493,3415638016
24019561,621027,3431989248
24019562,854210,3455107072
24019563,461445,3467116544
24019564,570749,3481780224
24019565,787669,3503390720
24019566,371672,3512909824
24019567,204504,3517775872
24019568,147367,3521429504
24019569,1223424,3553034240
24019570,815935,3574562816
24019571,662418,3594076160
24019572,201433,3599187968
24019573,964517,3624845312
24019574,662823,3641327616
24019575,529814,3655401472
24019576,542496,3670114304
24019577,622551,3686432768
24019578,783466,3707797504
24019579,513708,3721314304
24019580,506422,3735158784
24019581,459635,3746250752
24019582,716557,3765125120
24019583,414371,3775512576
24019584,795311,3797352448
24019585,636693,3814703104
24019586,359551,3824418816
24019587,902683,3847389184
24019588,786460,3869261824
24019589,381353,3878977536
24019590,722546,3898015744
24019591,807905,3919429632
24019592,667535,3937140736
24019593,446692,3948969984
24019594,580806,3962961920
24019595,844777,3987111936
24019596,1142417,4023304192
24019597,488678,4034445312
24019598,433951,4045012992
24019599,816150,4068950016
24019600,416823,4080304128
24019601,777537,4100882432
24019602,666296,4117561344
24019603,507276,4129816576
24019604,752763,4149985280
24019605,523208,4164435968
24019606,346674,4173250560
24019607,143795,4175790080
24019608,617269,4190568448
24019609,1277858,4223565824
24019610,161925,4227678208
24019611,283882,4234379264
24019612,680887,4250501120
24019613,926049,4272848896
24019614,995956,4297523200
24019615,76375,4299571200
24019616,909308,4321312768
24019617,355408,4329193472
24019618,879965,4351754240
24019619,705634,4368482304
24019620,626528,4384079872
24019621,447736,4394582016
24019622,307419,4402593792
24019623,812338,4422926336
24019624,499574,4435558400
24019625,623354,4450353152
24019626,298068,4457627648
24019627,482233,4469653504
24019628,568580,4484481024
