block_number,execution_time_us,hint_construction_time_us,hint_write_time_us,rss_bytes
24019447,3942649,31381,24911,155795456
24019448,2770463,26656,11840,245137408
24019449,2939733,31892,14485,339034112
24019450,2448483,31922,16516,415645696
24019451,1724436,31148,14096,469516288
24019452,661996,6919,12859,489750528
24019453,3321798,38413,15346,590020608
24019454,1646435,22593,14071,641024000
24019455,1800494,31306,14101,695861248
24019456,1053000,19567,12937,728072192
24019457,2485023,22071,12505,802308096
24019458,1522945,32472,13218,848117760
24019459,1434023,26016,13384,890159104
24019460,1339775,28127,13120,928169984
24019461,740792,19920,12740,948781056
24019462,1389017,27517,14466,988954624
24019463,1020503,21879,14476,1017446400
24019464,1815594,36322,20471,1071988736
24019465,1237806,30469,14757,1106477056
24019466,1174011,31197,14099,1139802112
24019467,1145722,26202,14452,1172455424
24019468,848229,19641,13403,1195507712
24019469,1270983,28136,13498,1229651968
24019470,646653,17420,13976,1247838208
24019471,2002341,39519,12400,1308065792
24019472,1474254,34390,12749,1349517312
24019473,193568,3615,13127,1354907648
24019474,2110303,37930,14807,1414135808
24019475,806054,20157,12146,1436581888
24019476,995977,26577,12484,1464713216
24019477,904163,24285,12434,1488633856
24019478,1070016,27671,14754,1518583808
24019479,1119464,33667,14951,1549402112
24019480,750806,21760,14030,1569488896
24019481,1387165,31605,14656,1609154560
24019482,1243444,33654,14740,1643986944
24019483,962424,39651,12817,1670922240
24019484,1810168,38904,15403,1723711488
24019485,731376,21397,12858,1743257600
24019486,1359685,31268,14687,1779875840
24019487,927592,22440,12912,1804894208
24019488,900803,24740,14791,1829470208
24019489,1247522,41852,16203,1864663040
24019490,1076361,30894,12012,1893449728
24019491,725758,26102,12969,1912553472
24019492,724360,20891,13588,1931149312
24019493,778509,13501,14021,1953890304
24019494,1921533,52656,15262,2007318528
24019495,779795,30503,14223,2028027904
24019496,331079,7503,13734,2036727808
24019497,431434,8432,13484,2048589824
24019498,2045433,51312,14781,2105475072
24019499,808129,21848,14091,2127527936
24019500,1156824,30480,15215,2158247936
24019501,926964,33878,13815,2182184960
24019502,589944,18774,13926,2197471232
24019503,745876,25708,15047,2216525824
24019504,1020878,31924,15343,2243510272
24019505,1071852,29349,14450,2271215616
24019506,582777,20920,13252,2286125056
24019507,1029528,39356,15692,2314731520
24019508,867419,33415,13746,2337390592
24019509,1023280,39688,14684,2363162624
24019510,809077,27840,13634,2384084992
24019511,728920,25894,14071,2402975744
24019512,713502,24710,15524,2420785152
24019513,626776,15605,15236,2437283840
24019514,1066506,36797,14288,2464677888
24019515,726185,27654,14484,2483585024
24019516,838531,34622,14349,2504916992
24019517,418515,16343,12036,2514550784
24019518,1343065,53786,14816,2549923840
24019519,998829,37432,14471,2575155200
24019520,770596,32686,13189,2595192832
24019521,1759907,47642,11524,2642804736
24019522,674197,34777,14235,2658271232
24019523,592750,19380,14351,2673590272
24019524,1523625,41244,14766,2711339008
24019525,3738579,26218,13660,2852110336
24019526,212044,10864,12331,2859401216
24019527,556985,21822,12812,2872672256
24019528,1007199,35793,12598,2897395712
24019529,1686187,50046,15143,2941108224
24019530,677568,38387,14026,2957312000
24019531,585878,23736,13119,2971566080
24019532,715931,26299,13552,2988883968
24019533,1112334,33531,13976,3017146368
24019534,955209,44852,12442,3041148928
24019535,647153,22961,12752,3057598464
24019536,751681,16857,12012,3075342336
24019537,598827,23019,13731,3091431424
24019538,427789,18693,14681,3101540352
24019539,990773,39092,13221,3126542336
24019540,184446,3051,11370,3130032128
24019541,1085330,46525,14145,3156852736
24019542,711875,33172,13213,3173515264
24019543,164742,8306,13398,3178119168
24019544,1305682,48940,14170,3212705792
24019545,778738,19118,13042,3230711808
24019546,194568,8397,12657,3236397056
24019547,385999,12740,12984,3245916160
24019548,1209901,55131,14157,3274833920
24019549,146405,8611,12780,3279011840
24019550,1113792,40964,14379,3305324544
24019551,887910,20652,12263,3324428288
24019552,435318,25505,12642,3335995392
24019553,445767,30447,12958,3345203200
24019554,304239,14913,12773,3352592384
24019555,1453528,30113,10636,3386015744
24019556,996226,33751,13699,3413393408
24019557,989359,11910,12227,3436101632
