block_number,wait_time_us,execution_time_us,rss_bytes
24019447,0,20135,23300685824
24019448,0,14471,23306010624
24019449,0,13396,23310647296
24019450,0,11093,23311679488
24019451,0,7662,23312384000
24019452,0,7152,23313088512
24019453,0,19413,23315169280
24019454,0,8737,23316086784
24019455,0,11502,23317184512
24019456,0,3477,23317577728
24019457,0,17227,23319117824
24019458,0,7430,23319822336
24019459,0,9829,23320674304
24019460,0,10659,23321755648
24019461,0,6687,23322394624
24019462,0,10906,23323394048
24019463,0,11539,23324442624
24019464,0,11923,23325622272
24019465,0,8587,23327031296
24019466,0,9734,23327932416
24019467,0,9578,23328882688
24019468,0,9171,23329701888
24019469,0,16119,23331225600
24019470,0,5173,23331799040
24019471,0,12478,23332962304
24019472,0,10271,23334010880
24019473,0,2917,23334338560
24019474,0,12210,23335550976
24019475,0,6708,23336304640
24019476,0,10801,23337222144
24019477,0,8430,23338041344
24019478,0,8511,23338860544
24019479,0,11460,23340023808
24019480,0,8794,23344742400
24019481,0,9989,23345659904
24019482,0,9639,23346561024
24019483,0,11056,23347576832
24019484,0,10513,23348461568
24019485,0,11614,23349592064
24019486,0,14093,23350771712
24019487,0,10930,23351689216
24019488,0,15502,23353016320
24019489,0,9611,23353720832
24019490,0,8857,23354441728
24019491,0,8830,23355146240
24019492,0,11498,23356162048
24019493,0,4289,23356506112
24019494,0,15867,23357816832
24019495,0,7267,23358472192
24019496,0,4410,23358865408
24019497,0,6392,23359373312
24019498,0,12531,23360389120
24019499,0,9043,23361257472
24019500,0,11982,23362256896
24019501,0,14132,23363141632
24019502,0,6157,23363420160
24019503,0,7160,23363731456
24019504,0,13370,23364321280
24019505,0,14033,23364943872
24019506,0,7540,23365287936
24019507,0,10282,23365730304
24019508,0,8807,23366156288
24019509,0,9238,23366549504
24019510,0,7733,23366893568
24019511,0,8342,23367286784
24019512,0,9556,23367712768
24019513,0,7377,23368024064
24019514,0,11371,23368531968
24019515,0,8306,23368892416
24019516,0,6951,23369187328
24019517,0,1970,23369302016
24019518,0,10681,23369793536
24019519,0,4506,23370006528
24019520,0,1600,23370104832
24019521,0,10965,23370596352
24019522,0,4908,23370858496
24019523,0,9944,23371579392
24019524,0,8191,23371874304
24019525,0,14945,23372693504
24019526,0,1843,23372791808
24019527,0,5795,23373103104
24019528,0,8002,23373545472
24019529,0,18976,23379132416
24019530,0,9936,23379804160
24019531,0,6032,23380836352
24019532,0,5296,23381590016
24019533,0,11884,23383687168
24019534,0,9059,23384358912
24019535,0,8230,23384981504
24019536,0,9330,23385784320
24019537,0,5922,23386226688
24019538,0,7123,23386849280
24019539,0,12244,23387799552
24019540,0,3027,23388078080
24019541,0,15277,23389290496
24019542,0,10898,23390191616
24019543,0,4082,23390568448
24019544,0,14266,23391731712
24019545,0,8719,23392485376
24019546,0,2668,23392747520
24019547,0,6034,23393189888
24019548,0,13167,23394271232
24019549,0,3056,23394549760
24019550,0,16432,23395844096
24019551,0,9546,23396581376
24019552,0,8956,23397335040
24019553,0,3492,23397629952
24019554,0,4333,23398006784
24019555,0,16886,23399481344
24019556,0,10736,23400382464
24019557,0,8933,23401119744
24019558,0,9941,23401988096
24019559,0,5386,23402446848
24019560,0,9191,23403151360
