block_number,wait_time_us,execution_time_us,rss_bytes
24019447,0,16257,23302144000
24019448,0,12107,23306141696
24019449,0,11764,23310385152
24019450,0,10445,23310925824
24019451,0,7947,23311319040
24019452,0,6730,23311679488
24019453,0,18247,23312646144
24019454,0,8196,23313121280
24019455,0,10851,23313727488
24019456,0,3296,23313891328
24019457,0,16612,23314694144
24019458,0,7276,23315070976
24019459,0,9902,23315562496
24019460,0,11425,23316152320
24019461,0,7506,23316561920
24019462,0,10888,23317741568
24019463,0,11397,23318364160
24019464,0,11980,23318953984
24019465,0,8508,23319429120
24019466,0,9451,23319969792
24019467,0,8943,23320379392
24019468,0,8880,23320805376
24019469,0,15712,23321591808
24019470,0,4853,23321837568
24019471,0,12276,23322443776
24019472,0,9981,23322951680
24019473,0,2880,23323099136
24019474,0,11982,23323688960
24019475,0,6488,23325327360
24019476,0,10808,23325884416
24019477,0,8332,23326326784
24019478,0,8305,23326720000
24019479,0,11215,23327277056
24019480,0,8265,23327703040
24019481,0,9475,23328210944
24019482,0,9847,23328718848
24019483,0,11039,23329292288
24019484,0,10466,23329800192
24019485,0,11147,23330357248
24019486,0,14039,23331045376
24019487,0,10785,23331586048
24019488,0,15113,23332257792
24019489,0,9321,23332716544
24019490,0,8891,23333158912
24019491,0,8715,23333552128
24019492,0,11037,23334027264
24019493,0,4168,23334207488
24019494,0,15325,23334862848
24019495,0,7668,23335190528
24019496,0,4353,23335370752
24019497,0,6283,23335616512
24019498,0,13327,23336157184
24019499,0,9386,23336599552
24019500,0,12329,23337172992
24019501,0,13626,23337877504
24019502,0,6133,23338205184
24019503,0,7128,23338582016
24019504,0,13101,23340941312
24019505,0,14215,23341563904
24019506,0,7517,23341891584
24019507,0,10325,23342415872
24019508,0,8633,23342792704
24019509,0,9059,23343169536
24019510,0,7671,23343529984
24019511,0,8368,23343906816
24019512,0,9525,23344349184
24019513,0,7261,23344676864
24019514,0,11106,23345152000
24019515,0,8466,23345528832
24019516,0,7009,23345840128
24019517,0,1940,23345938432
24019518,0,10685,23346413568
24019519,0,4530,23346659328
24019520,0,1541,23346724864
24019521,0,10882,23347216384
24019522,0,4862,23347445760
24019523,0,10124,23347904512
24019524,0,8149,23348248576
24019525,0,14800,23348920320
24019526,0,1814,23349018624
24019527,0,5697,23349264384
24019528,0,7942,23349641216
24019529,0,19116,23350476800
24019530,0,9909,23350919168
24019531,0,5865,23351181312
24019532,0,5223,23351410688
24019533,0,12017,23351902208
24019534,0,9161,23352295424
24019535,0,8220,23352655872
24019536,0,9199,23353032704
24019537,0,5691,23353278464
24019538,0,6889,23353573376
24019539,0,12074,23354097664
24019540,0,3122,23354245120
24019541,0,15128,23354884096
24019542,0,10650,23355359232
24019543,0,3852,23355523072
24019544,0,13863,23356112896
24019545,0,8554,23356506112
24019546,0,2577,23356653568
24019547,0,5807,23356882944
24019548,0,12930,23357407232
24019549,0,2899,23357538304
24019550,0,16029,23358177280
24019551,0,9576,23358652416
24019552,0,8734,23359012864
24019553,0,3371,23359143936
24019554,0,4150,23359324160
24019555,0,16501,23360045056
24019556,0,10638,23360471040
24019557,0,8680,23360831488
24019558,0,9648,23361273856
24019559,0,5244,23361503232
24019560,0,8955,23361847296
24019561,0,8023,23362174976
24019562,0,11226,23362650112
24019563,0,6967,23362945024
24019564,0,10334,23363387392
24019565,0,8308,23363764224
24019566,0,7628,23364091904
24019567,0,5039,23364288512
24019568,0,3365,23364435968
24019569,0,15372,23365042176
24019570,0,10267,23365517312
24019571,0,6773,23365828608
24019572,0,5095,23366057984
24019573,0,13694,23366615040
24019574,0,10203,23367073792
24019575,0,7948,23367401472
24019576,0,8471,23367745536
24019577,0,9463,23368187904
24019578,0,9839,23368613888
24019579,0,7078,23368925184
24019580,0,7977,23369187328
24019581,0,9480,23369465856
24019582,0,8181,23369678848
24019583,0,7724,23369891840
24019584,0,10634,23370170368
24019585,0,10245,23370399744
24019586,0,5577,23370530816
24019587,0,11878,23370874880
24019588,0,10070,23371137024
24019589,0,7392,23371448320
24019590,0,9494,23371825152
24019591,0,9883,23372365824
24019592,0,6455,23373414400
24019593,0,7127,23374364672
24019594,0,10638,23374462976
24019595,0,11528,23374938112
24019596,0,7252,23375216640
24019597,0,9780,23375609856
24019598,0,8742,23375986688
24019599,0,8170,23376347136
24019600,0,8241,23376723968
24019601,0,11356,23377215488
24019602,0,13284,23377772544
24019603,0,11513,23378231296
24019604,0,11206,23378722816
24019605,0,6827,23379034112
24019606,0,6860,23379312640
24019607,0,2859,23379443712
24019608,0,7109,23379771392
24019609,0,12698,23380410368
24019610,0,2084,23380541440
24019611,0,8090,23380885504
24019612,0,7808,23381213184
24019613,0,10232,23381655552
24019614,0,18044,23382425600
24019615,0,2610,23382556672
24019616,0,16311,23383212032
24019617,0,6365,23383523328
24019618,0,9749,23383949312
24019619,0,9943,23384408064
24019620,0,9970,23384834048
24019621,0,8070,23385178112
24019622,0,4307,23385374720
24019623,0,20957,23386292224
24019624,0,8028,23386669056
24019625,0,10075,23387078656
24019626,0,8502,23387471872
24019627,0,8846,23387865088
24019628,0,9246,23388291072
24019629,0,9258,23388766208
24019630,0,6478,23389028352
24019631,0,6272,23389290496
24019632,0,9726,23389749248
24019633,0,9433,23390158848
24019634,0,8794,23390552064
24019635,0,4294,23390732288
24019636,0,15514,23391420416
24019637,0,6915,23391715328
24019638,0,9449,23392124928
24019639,0,7588,23392452608
24019640,0,7223,23392747520
24019641,0,6917,23393058816
24019642,0,6344,23393337344
24019643,0,15007,23393992704
24019644,0,6073,23394238464
24019645,0,8799,23394615296
24019646,0,2449,23394729984
24019647,0,9271,23395123200
24019648,0,14690,23395778560
24019649,0,8131,23396139008
24019650,0,4099,23396335616
24019651,0,12770,23396859904
24019652,0,8994,23397253120
24019653,0,16395,23397924864
24019654,0,6909,23398252544
24019655,0,10957,23398776832
24019656,0,10365,23401971712
24019657,0,8143,23402348544
24019658,0,10525,23402823680
24019659,0,12463,23403380736
24019660,0,5419,23403675648
24019661,0,8779,23404052480
24019662,0,8550,23404429312
24019663,0,11804,23404953600
24019664,0,8410,23405346816
24019665,0,9209,23405756416
24019666,0,7463,23406084096
24019667,0,8229,23406444544
24019668,0,5271,23406673920
24019669,0,7303,23407001600
24019670,0,14119,23407591424
24019671,0,11198,23408066560
24019672,0,7868,23408427008
24019673,0,8727,23408820224
24019674,0,6321,23409082368
24019675,0,9661,23409491968
24019676,0,8031,23409852416
24019677,0,9588,23410262016
24019678,0,7580,23410606080
24019679,0,9458,23410982912
24019680,0,9564,23411408896
24019681,0,6853,23411752960
24019682,0,8185,23412080640
24019683,0,9188,23412473856
24019684,0,9521,23412899840
24019685,0,10130,23413358592
24019686,0,9280,23413768192
24019687,0,10262,23414210560
24019688,0,5564,23414423552
24019689,0,9975,23414865920
24019690,0,7825,23415193600
24019691,0,9144,23415586816
24019692,0,14224,23416176640
24019693,0,8719,23416569856
24019694,0,6318,23416832000
24019695,0,13785,23417421824
24019696,0,9417,23417847808
24019697,0,2389,23417962496
24019698,0,20247,23418830848
24019699,0,7595,23419158528
24019700,0,11462,23419666432
24019701,0,7477,23419977728
24019702,0,6233,23420239872
24019703,0,18950,23421026304
24019704,0,9198,23421419520
24019705,0,10280,23421861888
24019706,0,7468,23422173184
24019707,0,11289,23422681088
24019708,0,10531,23423123456
24019709,0,6058,23423385600
24019710,0,6730,23423696896
24019711,0,11870,23424221184
24019712,0,2744,23424368640
24019713,0,186,23424368640
24019714,0,7624,23424663552
24019715,0,23689,23425679360
24019716,0,3962,23425875968
24019717,0,17558,23426580480
24019718,0,11239,23427072000
24019719,0,7747,23427416064
24019720,0,8465,23427809280
24019721,0,4043,23428005888
24019722,0,7657,23428333568
24019723,0,12462,23428710400
24019724,0,7544,23428857856
24019725,0,7704,23429070848
24019726,0,7028,23429234688
24019727,0,8332,23429480448
24019728,0,7496,23429726208
24019729,0,8346,23429890048
24019730,0,5266,23430004736
24019731,0,12812,23430348800
24019732,0,6172,23430512640
24019733,0,7050,23430643712
24019734,0,2126,23430676480
24019735,0,13694,23431102464
24019736,0,8673,23431462912
24019737,0,7878,23432691712
24019738,0,10273,23433379840
24019739,0,6661,23433592832
24019740,0,16006,23434231808
24019741,0,7151,23434526720
24019742,0,4592,23434706944
24019743,0,13288,23435247616
24019744,0,7952,23435591680
24019745,0,10179,23436034048
24019746,0,5741,23436279808
24019747,0,12518,23436804096
24019748,0,9313,23437180928
24019749,0,7502,23437508608
24019750,0,7290,23436787712
24019751,0,8048,23437131776
