config,wall_time_seconds
2026.01.29.reth-baseline-run2,23478
2026.02.01.reth-primary-run2,31453
2026.02.02.reth-backup-sequential-run2,4356
2026.02.02.reth-backup-parallel2-run2,2473
2026.02.02.reth-backup-parallel4-run2,1605
2026.02.02.reth-backup-parallel8-run2,1152
2026.02.02.reth-backup-parallel12-run2,1078
2026.02.02.reth-backup-parallel16-run2,994
2026.02.02.reth-backup-parallel24-run2,979
2026.02.02.reth-backup-parallel32-run2,968
2026.02.02.reth-backup-parallel48-run2,933
2026.02.02.reth-backup-parallel64-run2,913
2026.02.12.reth-baseline-run3,23192
2026.02.13.reth-primary-run3,31257
2026.02.13.reth-backup-sequential-run3,4714
2026.02.13.reth-backup-parallel2-run3,2646
2026.02.13.reth-backup-parallel4-run3,1743
2026.02.13.reth-backup-parallel8-run3,1244
2026.02.13.reth-backup-parallel12-run3,1207
2026.02.13.reth-backup-parallel16-run3,1064
2026.02.13.reth-backup-parallel24-run3,1057
2026.02.13.reth-backup-parallel32-run3,982
2026.02.13.reth-backup-parallel48-run3,951
2026.02.13.reth-backup-parallel64-run3,922
